accepted_name	IUCN_category_old	IUCN_category_new	TS_category_old	TS_category_new	IUCN_old	IUCN_new	TS_global_old	TS_global_new
Calamus manii	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus manillensis	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus marginatus	NE	NE	NE	NE	0	0	0	0
Calamus mattanensis	NE	NE	NE	NE	0	0	0	0
Calamus maturbongsii	NE	NE	Data Deficient	NE	0	0	1	0
Calamus megalocarpus	NE	NE	NE	NE	0	0	0	0
Calamus megaphyllus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus meghalayensis	NE	NE	NE	NE	0	0	0	0
Calamus melanacanthos	NE	NE	NE	NE	0	0	0	0
Calamus melanochaetes	NE	NE	NE	NE	0	0	0	0
Calamus melanochrous	NE	NE	NE	Not Threatened	0	0	0	1
Calamus melanoloma	NE	NE	Threatened	NE	0	0	1	0
Calamus melanorhynchus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus merrillii	NE	NE	Threatened	NE	0	0	1	0
Calamus metzianus	NE	NE	Threatened	NE	0	0	1	0
Calamus micracanthus	NE	NE	NE	NE	0	0	0	0
Calamus micranthus	NE	NE	NE	NE	0	0	0	0
Calamus microsphaerion	NE	NE	NE	NE	0	0	0	0
Calamus microstachys	NE	NE	NE	NE	0	0	0	0
Calamus minahassae	NE	NE	NE	NE	0	0	0	0
Calamus minor	NE	NE	NE	NE	0	0	0	0
Calamus minutus	NE	NE	Threatened	NE	0	0	1	0
Calamus mirabilis	NE	NE	NE	NE	0	0	0	0
Calamus mitis	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus modestus	NE	LC	Data Deficient	Not Threatened	0	1	1	1
Calamus mogeae	NE	NE	NE	NE	0	0	0	0
Calamus mogeanus	NE	NE	NE	NE	0	0	0	0
Calamus mollis	NE	NE	NE	NE	0	0	1	0
Calamus mollispinus	NE	NE	Threatened	NE	0	0	2	0
Calamus monticola	NE	NE	NE	NE	0	0	0	0
Calamus moorei	NE	NE	Threatened	NE	0	0	1	0
Calamus moorhousei	NE	NE	Threatened	NE	0	0	1	0
Calamus moseleyanus	NE	NE	Possibly Threatened	NE	0	0	2	0
Calamus moszkowskianus	NE	NE	NE	NE	0	0	0	0
Calamus moti	NE	NE	NE	NE	0	0	0	0
Calamus muelleri	NE	NE	NE	NE	0	0	0	0
Calamus multispicatus	NE	NE	NE	Not Threatened	0	0	0	1
Calamus muricatus	NE	NE	NE	NE	0	0	0	0
Calamus myriacanthus	NE	NE	NE	NE	0	0	0	0
Calamus myrianthus	NE	NE	NE	NE	0	0	0	0
Calamus nagbettai	NE	NE	Threatened	NE	0	0	1	0
Calamus nanduensis	NE	NE	NE	NE	0	0	0	0
Calamus nannostachys	NE	NE	NE	NE	0	0	0	0
Calamus nanodendron	NE	NE	NE	NE	0	0	0	0
Calamus nematospadix	NE	NE	NE	NE	0	0	0	0
Calamus nicobaricus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus nicolai	NE	NE	NE	NE	0	0	0	0
Calamus nielsenii	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus niger	NE	NE	NE	NE	0	0	0	0
Calamus nitidus	NE	NE	Threatened	NE	0	0	1	0
Calamus novae-georgii	NE	NE	NE	NE	0	0	0	0
Calamus nuichuaensis	NE	NE	NE	NE	0	0	0	0
Calamus oblatus	NE	NE	NE	NE	0	0	0	0
Calamus oblongus	NE	NE	NE	NE	0	0	0	0
Calamus occidentalis	NE	NE	NE	NE	0	0	0	0
Calamus ochrolepis	NE	NE	NE	NE	0	0	0	0
Calamus ocreatus	NE	NE	NE	NE	0	0	0	0
Calamus oligolepis	NE	NE	NE	Threatened	0	0	0	1
Calamus oligophyllus	NE	NE	Threatened	NE	0	0	1	0
Calamus oligostachys	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus optimus	NE	NE	NE	NE	0	0	0	0
Calamus oresbius	NE	NE	NE	NE	0	0	0	0
Calamus ornatus	NE	NE	NE	NE	0	0	0	0
Calamus orthostachyus	NE	NE	NE	NE	0	0	0	0
Calamus ovoideus	NE	NE	Threatened	NE	0	0	1	0
Calamus oxleyanus	NE	LC	NE	Not Threatened	0	1	0	1
Calamus oxycarpus	NE	NE	Data Deficient	Not Threatened	0	0	1	1
Calamus oxycoccus	NE	NE	NE	NE	0	0	0	0
Calamus pachypus	NE	NE	Not Threatened	NE	0	0	1	0
Calamus pachyrostris	NE	NE	NE	NE	0	0	0	0
Calamus pachystemonus	NE	NE	Threatened	NE	0	0	1	0
Calamus padangensis	NE	NE	Threatened	NE	0	0	1	0
Calamus palembanicus	NE	NE	NE	NE	0	0	0	0
Calamus pandanosmus	NE	NE	NE	NE	0	0	0	0
Calamus pannosus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus papuanus	NE	NE	NE	NE	0	0	0	0
