"accepted_name"	"ECO"
"Calamus bachmaensis"	1
"Calamus bacularis"	3
"Calamus baiyerensis"	1
"Calamus balingensis"	3
"Calamus banggiensis"	1
"Calamus bankae"	1
"Calamus barbatus"	2
"Calamus barfodii"	1
"Calamus beccarii"	1
"Calamus beguinii"	1
"Calamus bousigonii"	6
"Calamus brachypodus"	2
"Calamus brevicaulis"	2
"Calamus bulubabi"	2
"Calamus caesius"	9
"Calamus calapparius"	2
"Calamus calicarpus"	1
"Calamus calospathus"	1
"Calamus capillosus"	1
"Calamus caryotoides"	2
"Calamus castaneus"	5
"Calamus centralis"	3
"Calamus ceratophorus"	1
"Calamus cheirophyllus"	1
"Calamus collarifer"	3
"Calamus comptus"	3
"Calamus concinnus"	2
"Calamus concolor"	4
"Calamus conirostris"	6
"Calamus conjugatus"	2
"Calamus conspectus"	2
"Calamus convallium"	3
"Calamus crassifolius"	1
"Calamus cristatus"	3
"Calamus croftii"	1
"Calamus curranii"	1
"Calamus cuthbertsonii"	1
"Calamus dasyacanthus"	3
"Calamus deerratus"	12
"Calamus densiflorus"	1
"Calamus depauperatus"	4
"Calamus depressiusculus"	3
"Calamus dianbaiensis"	1
"Calamus didymocarpus"	1
"Calamus didymophyllus"	11
"Calamus diepenhorstii"	5
"Calamus dioicus"	4
"Calamus discolor"	1
"Calamus distentus"	2
"Calamus divaricatus"	4
"Calamus dongnaiensis"	2
"Calamus draco"	2
"Calamus dumetosus"	2
"Calamus egregius"	1
"Calamus elongatus"	4
"Calamus erectus"	4
"Calamus erinaceus"	4
"Calamus erioacanthus"	6
"Calamus erythrocarpus"	1
"Calamus essigii"	1
"Calamus eugenei"	4
"Calamus exilis"	5
"Calamus fertilis"	6
"Calamus filispadix"	1
"Calamus fissilis"	2
"Calamus fissus"	6
"Calamus flabellatus"	7
"Calamus flagellum"	10
"Calamus flexilis"	1
"Calamus floribundus"	3
"Calamus formicarius"	5
"Calamus formosanus"	2
"Calamus geniculatus"	6
"Calamus gibbsianus"	3
"Calamus godefroyi"	3
"Calamus gonospermus"	4
"Calamus gracilipes"	1
"Calamus grandis"	2
"Calamus guruba"	5
"Calamus hallierianus"	4
"Calamus harmandii"	1
"Calamus heatubunii"	1
"Calamus helferianus"	2
"Calamus henryanus"	8
"Calamus heteracanthus"	9
"Calamus hirsutus"	10
"Calamus hukaungensis"	2
"Calamus inermis"	11
"Calamus ingens"	5
"Calamus insignis"	3
"Calamus interruptus"	1
"Calamus jacobsii"	1
"Calamus javensis"	17
"Calamus jenkinsianus"	21
"Calamus johnsii"	4
"Calamus kampucheaensis"	1
"Calamus karuensis"	1
"Calamus katikii"	1
"Calamus kiahii"	3
"Calamus kingianus"	3
"Calamus klossii"	3
"Calamus kontumensis"	1
"Calamus korthalsii"	5
"Calamus kostermansii"	1
"Calamus kunstleri"	4
"Calamus kurzianus"	2
"Calamus lambirensis"	2
"Calamus laoensis"	2
"Calamus lateralis"	1
"Calamus latifolius"	11
"Calamus lauterbachii"	8
"Calamus leloi"	3
"Calamus leptospadix"	1
"Calamus lewisianus"	1
"Calamus lobbianus"	4
"Calamus loherianus"	2
"Calamus longibracteatus"	2
"Calamus longipes"	7
"Calamus longipinna"	6
"Calamus longisetus"	4
"Calamus longistipes"	4
"Calamus lucysmithiae"	1
"Calamus macrochlamys"	7
"Calamus macropterus"	2
"Calamus macrorhynchus"	3
"Calamus maculatus"	4
"Calamus maiadum"	2
"Calamus manan"	4
"Calamus marginatus"	6
"Calamus mattanensis"	5
"Calamus maturbongsii"	2
"Calamus melanacanthos"	1
"Calamus melanochaetes"	7
"Calamus melanoloma"	1
"Calamus micracanthus"	5
"Calamus micranthus"	1
"Calamus microsphaerion"	1
"Calamus microstachys"	6
"Calamus minahassae"	2
"Calamus mirabilis"	2
"Calamus modestus"	2
"Calamus mollispinus"	2
"Calamus monticola"	1
"Calamus moorei"	1
"Calamus moseleyanus"	3
"Calamus moti"	3
"Calamus muelleri"	2
"Calamus multispicatus"	1
"Calamus muricatus"	5
"Calamus myriacanthus"	6
"Calamus myrianthus"	1
"Calamus nanduensis"	1
"Calamus nannostachys"	1
"Calamus nanodendron"	1
"Calamus nematospadix"	4
"Calamus nielsenii"	1
"Calamus novae-georgii"	1
"Calamus nuichuaensis"	1
"Calamus oblatus"	4
"Calamus oblongus"	1
"Calamus ochrolepis"	5
"Calamus ocreatus"	1
"Calamus oligostachys"	1
"Calamus optimus"	6
"Calamus oresbius"	2
"Calamus ornatus"	12
"Calamus ovoideus"	1
"Calamus oxleyanus"	6
"Calamus oxycarpus"	1
"Calamus oxycoccus"	3
"Calamus pachypus"	7
"Calamus pandanosmus"	5
"Calamus pannosus"	1
"Calamus papuanus"	4
"Calamus papyraceus"	1
"Calamus parvulus"	1
"Calamus paspalanthus"	4
"Calamus paulii"	1
"Calamus pedicellaris"	2
"Calamus penicillatus"	1
"Calamus peregrinus"	2
"Calamus periacanthus"	6
"Calamus pholidostachys"	1
"Calamus pilosellus"	3
"Calamus pilosissimus"	3
"Calamus pintaudii"	2
"Calamus platyspathus"	3
"Calamus plicatus"	7
"Calamus poensis"	2
"Calamus pogonacanthus"	6
"Calamus pogonotium"	2
"Calamus poilanei"	6
"Calamus polycladus"	1
"Calamus pseudozebrinus"	1
"Calamus psilocladus"	1
"Calamus pumilus"	1
"Calamus pygmaeus"	1
"Calamus quangngaiensis"	1
"Calamus radicalis"	2
"Calamus reticulatus"	3
"Calamus retroflexus"	5
"Calamus reyesianus"	1
"Calamus rhabdocladus"	7
"Calamus rhomboideus"	9
"Calamus rhytidomus"	2
"Calamus rudentum"	9
"Calamus rugosus"	1
"Calamus ruptilis"	4
"Calamus ruvidus"	2
"Calamus sabalensis"	1
"Calamus sabensis"	4
"Calamus sabut"	8
"Calamus salicifolius"	3
"Calamus sarawakensis"	3
"Calamus scabridulus"	2
"Calamus scabrispathus"	1
"Calamus scapigerus"	4
"Calamus schistoacanthus"	2
"Calamus schlechterianus"	6
"Calamus scleracanthus"	1
"Calamus sedens"	1
"Calamus sepal"	1
"Calamus seriatus"	2
"Calamus serpentinus"	1
"Calamus serrulatus"	6
"Calamus siphonospathus"	2
"Calamus sordidus"	3
"Calamus sparsiflorus"	5
"Calamus spectatissimus"	2
"Calamus spinulinervis"	1
"Calamus spiralis"	1
"Calamus stenophyllus"	2
"Calamus subangulatus"	8
"Calamus superciliatus"	1
"Calamus symphysipus"	1
"Calamus temii"	1
"Calamus tenompokensis"	3
"Calamus tenuis"	7
"Calamus tetradactyloides"	1
"Calamus tetradactylus"	12
"Calamus thwaitesii"	1
"Calamus thysanolepis"	2
"Calamus trachycoleus"	2
"Calamus unijugus"	1
"Calamus urdanetanus"	2
"Calamus ursinus"	1
"Calamus uschdraweitianus"	1
"Calamus usitatus"	1
"Calamus verticillaris"	3
"Calamus vestitus"	5
"Calamus viminalis"	19
"Calamus vitiensis"	11
"Calamus walkeri"	5
"Calamus wanggaii"	1
"Calamus warburgii"	9
"Calamus womersleyi"	1
"Calamus wuliangshanensis"	1
"Calamus yentuensis"	1
"Calamus zebrinus"	13
"Calamus zeylanicus"	1
"Calamus zieckii"	6
"Calamus zollingeri"	2
"Calamus zonatus"	6
"Calyptrocalyx albertisianus"	12
"Calyptrocalyx arfakianus"	1
"Calyptrocalyx awa"	0
"Calyptrocalyx doxanthus"	1
"Calyptrocalyx elegans"	3
"Calyptrocalyx flabellatus"	1
"Calyptrocalyx forbesii"	2
"Calyptrocalyx geonomiformis"	2
"Calyptrocalyx hollrungii"	4
"Calyptrocalyx julianettii"	1
"Calyptrocalyx lauterbachianus"	4
"Calyptrocalyx laxiflorus"	1
"Calyptrocalyx lepidotus"	4
"Calyptrocalyx leptostachys"	2
"Calyptrocalyx merrillianus"	2
"Calyptrocalyx micholitzii"	3
"Calyptrocalyx multifidus"	2
"Calyptrocalyx pachystachys"	3
"Calyptrocalyx polyphyllus"	3
"Calyptrocalyx pusillus"	1
"Calyptrocalyx sessiliflorus"	4
"Calyptrocalyx spicatus"	1
"Calyptrogyne allenii"	4
"Calyptrogyne anomala"	3
"Calyptrogyne baudensis"	2
"Calyptrogyne coloradensis"	1
"Calyptrogyne condensata"	3
"Calyptrogyne costatifrons"	5
"Calyptrogyne deneversii"	3
"Calyptrogyne fortunensis"	2
"Calyptrogyne ghiesbreghtiana"	9
"Calyptrogyne herrerae"	2
"Calyptrogyne kunorum"	2
"Calyptrogyne osensis"	3
"Calyptrogyne panamensis"	4
"Calyptrogyne pubescens"	2
"Calyptrogyne sanblasensis"	3
"Calyptrogyne trichostachys"	4
"Calyptrogyne tutensis"	2
"Calyptronoma occidentalis"	1
"Calyptronoma plumeriana"	4
"Calyptronoma rivalis"	3
"Carpentaria acuminata"	4
"Caryota angustifolia"	1
"Caryota cumingii"	3
"Caryota kiriwongensis"	1
"Caryota maxima"	13
"Caryota mitis"	22
"Caryota monostachya"	7
"Caryota no"	3
"Caryota obtusa"	1
"Caryota rumphiana"	15
"Caryota sympetala"	4
"Caryota urens"	19
"Caryota zebrina"	1
"Ceroxylon alpinum"	4
"Ceroxylon amazonicum"	1
"Ceroxylon ceriferum"	3
"Ceroxylon echinulatum"	4
"Ceroxylon parvifrons"	10
"Ceroxylon parvum"	1
"Ceroxylon peruvianum"	1
"Ceroxylon pityrophyllum"	2
"Ceroxylon quindiuense"	6
"Ceroxylon sasaimae"	2
"Ceroxylon ventricosum"	3
"Ceroxylon vogelianum"	11
"Chamaedorea adscendens"	2
"Chamaedorea allenii"	7
"Chamaedorea alternans"	3
"Chamaedorea amabilis"	2
"Chamaedorea anemophila"	4
"Chamaedorea angustisecta"	7
