accepted_name	lon	lat	coordinateUncertaintyInMeters
Acrocomia hassleri	-56.0106	-22.6861	5000
Acrocomia hassleri	-55.2792	-24.1861	5000
Acrocomia hassleri	-56.2114	-23.7961	5000
Acrocomia hassleri	-55.285	-24.1597	5000
Acrocomia hassleri	-47.142	-22.242	5000
Acrocomia hassleri	-55.733056	-22.365194	5000
Acrocomia hassleri	-50.5638	-11.3449	5000
Acrocomia hassleri	-56.5	-24.25	5000
Acrocomia hassleri	-55.75	-22.55	850
Acrocomia hassleri	-56	-22.98333	850
Acrocomia hassleri	-56.21333	-23.82944	5000
Acrocomia hassleri	-56.21138	-23.79611	5000
Acrocomia hassleri	-56.11277	-23.80944	5000
Acrocomia hassleri	-56.010556	-22.686111	5000
Acrocomia hassleri	-55.285	-24.159722	5000
Acrocomia hassleri	-55.28	-24.18361	5000
Acrocomia hassleri	-55.733333	-22.566667	5000
Acrocomia hassleri	-50.943889	-11.580278	5000
Acrocomia intumescens	-40.245556	-7.828889	5000
Acrocomia intumescens	-35.691389	-6.963333	5000
Acrocomia intumescens	-38.228056	-6.759444	5000
Acrocomia intumescens	-34.863056	-7.115	5000
Acrocomia intumescens	-38.486111	-3.798611	5000
Acrocomia intumescens	-34.8811	-8.0539	5000
Acrocomia intumescens	-38.9331	-4.2633	5000
Acrocomia intumescens	-38.383333	-6.416667	5000
Acrocomia intumescens	-43.229444	-22.859444	5000
Acrocomia totai	-53.096472	-22.929694	5000
Acrocomia totai	-53.922889	-23.660944	5000
Acrocomia totai	-57.6533	-19.0092	5000
Acrocomia totai	-57.6017	-19.0047	5000
Acrocomia totai	-54.8603	-20.4422	5000
Acrocomia totai	-48.3233	-9.8181	5000
Acrocomia totai	-41.2658	-11.9694	5000
Acrocomia totai	-55.7256	-22.5361	5000
Acrocomia totai	-62.43333	-16.56666	5000
Acrocomia totai	-64.5	-15	5000
Acrocomia totai	-57.33333	-25.41666	5000
Acrocomia totai	-53.057311	-24.056567	5000
Acrocomia totai	-54.613528	-20.503	5000
Acrocomia totai	-57.235	-22.251	5000
Actinokentia divaricata	166.68457	-22.1128	5000
Actinokentia divaricata	166.45917	-22.0125	5000
Actinokentia divaricata	166.44583	-22.04722	5000
Actinokentia divaricata	166.46667	-22.03111	5000
Actinokentia divaricata	165.76744	-21.55887	5000
Actinokentia divaricata	166.53138	-22.1743	5000
Actinokentia divaricata	166.67083	-21.9975	5000
Actinokentia divaricata	166.50028	-22.04583	5000
Actinokentia divaricata	166.59992	-22.13778	5000
Actinokentia divaricata	166.64266	-22.12123	5000
