"taxa"	"EOO"	"AOO"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"EOO2"	"NOP"	"MER"	"EOOkm2"	"AOO2km"	"EOOcat"	"AOOcat"	"EOO_rCAT_conR2"
"Bactris dianeura"	117906	196	63	21	29	117906	"63"	"295612.374826032"	"116317.653660172"	"200"	"LC"	"EN"	"116317.653660172"
"Bactris elegans"	3155412	200	68	38	41	3155412	"68"	"5573081.1826195"	"3135233.19258818"	"208"	"LC"	"EN"	"3135233.19258818"
"Bactris faucium"	35875	28	8	6	6	35875	"8"	"276096.02494855"	"36977.9509662885"	"28"	"LC"	"EN"	"36977.9509662885"
"Bactris ferruginea"	215615	112	31	25	26	215615	"31"	"1132845.52872617"	"215170.736361195"	"112"	"LC"	"EN"	"215170.736361195"
"Bactris fissifrons"	1777944	240	71	45	49	1777944	"71"	"3004298.32039099"	"1768463.44512545"	"240"	"LC"	"EN"	"1768463.44512545"
"Bactris gasipaes"	5520538	52	13	13	13	5520538	"13"	"15545446.8438433"	"5565567.9043706"	"52"	"LC"	"EN"	"5565567.9043706"
"Bactris gastoniana"	791310	44	12	10	10	791310	"12"	"2867208.43177908"	"795874.946886662"	"44"	"LC"	"EN"	"795874.946886662"
"Bactris glandulosa"	202301	236	88	40	46	202301	"88"	"459071.891157916"	"203107.769490935"	"248"	"LC"	"EN"	"203107.769490935"
"Bactris glassmanii"	176310	20	5	5	5	176310	"5"	"555900.703220272"	"177867.65829811"	"20"	"LC"	"EN"	"177867.65829811"
"Bactris glaucescens"	2599302	140	44	31	33	2599302	"44"	"4278816.33449974"	"2573714.79453376"	"140"	"LC"	"EN"	"2573714.79453376"
"Bactris gracilior"	130996	224	77	32	41	130996	"77"	"282804.997484939"	"130367.01645576"	"244"	"LC"	"EN"	"130367.01645576"
"Bactris grayumii"	38295	68	26	15	15	38295	"26"	"66693.4629281783"	"38233.4964844787"	"80"	"LC"	"EN"	"38233.4964844787"
"Bactris guineensis"	1418751	240	78	45	50	1418751	"78"	"2877206.59976189"	"1414592.76530922"	"248"	"LC"	"EN"	"1414592.76530922"
"Bactris halmoorei"	318396	136	44	18	24	318396	"44"	"545671.40604089"	"317223.142262734"	"136"	"LC"	"EN"	"317223.142262734"
"Bactris hatschbachii"	123726	20	6	5	5	123726	"6"	"1194932.87472551"	"126752.125365989"	"24"	"LC"	"EN"	"126752.125365989"
"Bactris herrerana"	4001	48	17	8	9	4001	"17"	"16779.9369917998"	"4010.91939427926"	"40"	"EN"	"EN"	"4010.91939427926"
"Bactris hirta"	8454202	1368	426	193	245	8454202	"426"	"12584806.6074323"	"8358392.01036972"	"1392"	"LC"	"VU"	"8358392.01036972"
"Bactris horridispatha"	12182	32	12	8	8	12182	"12"	"45001.6646441562"	"12051.4081673953"	"32"	"VU"	"EN"	"12051.4081673953"
"Bactris killipii"	1994090	364	111	48	66	1994090	"111"	"3526180.53430902"	"1981543.18815232"	"376"	"LC"	"EN"	"1981543.18815232"
"Bactris kunorum"	367	28	9	4	4	367	"9"	"1152.40469152286"	"366.945558366918"	"32"	"EN"	"EN"	"366.945558366918"
"Bactris macroacantha"	2806966	484	141	68	91	2806966	"141"	"4308429.50954737"	"2795396.45067653"	"488"	"LC"	"EN"	"2795396.45067653"
"Bactris major"	12599208	864	267	169	189	12599208	"267"	"27315566.4971375"	"12563583.7656332"	"868"	"LC"	"VU"	"12563583.7656332"
"Bactris manriquei"	NA	4	2	1	1	3	"2"	"12.7660947122575"	"0"	"8"	"CR"	"CR"	"3"
"Bactris maraja"	7171596	2372	747	322	432	7171596	"747"	"11170613.5711069"	"7140054.55451438"	"2412"	"LC"	"NT"	"7140054.55451438"
"Bactris martiana"	606543	64	16	15	16	606543	"16"	"1310430.32810572"	"603774.858427317"	"64"	"LC"	"EN"	"603774.858427317"
"Bactris mexicana"	246777	120	34	21	22	246777	"34"	"541192.114599686"	"244099.583296046"	"124"	"LC"	"EN"	"244099.583296046"
"Bactris militaris"	55122	44	18	8	9	55122	"18"	"108107.284537606"	"54944.1561669854"	"48"	"LC"	"EN"	"54944.1561669854"
"Bactris oligoclada"	76595	128	42	24	26	76595	"42"	"110156.575537245"	"76580.0956547992"	"136"	"LC"	"EN"	"76580.0956547992"
"Bactris panamensis"	7943	48	17	9	10	7943	"17"	"25353.1066580434"	"7919.17565800389"	"56"	"VU"	"EN"	"7919.17565800389"
"Bactris pickelii"	275204	128	37	26	28	275204	"37"	"854278.193272679"	"271603.276002324"	"136"	"LC"	"EN"	"271603.276002324"
"Bactris pilosa"	299733	144	47	25	30	299733	"47"	"513500.390888675"	"299566.491351397"	"152"	"LC"	"EN"	"299566.491351397"
"Bactris pliniana"	NA	8	2	2	2	183625	"2"	"1863245.4520403"	"0"	"8"	"CR"	"CR"	"183625"
"Bactris plumeriana"	4808	28	7	7	7	4808	"7"	"38607.9042693949"	"4980.02349266196"	"28"	"EN"	"EN"	"4980.02349266196"
"Bactris polystachya"	5885	36	12	6	6	5885	"12"	"17442.6056436711"	"5887.08351310003"	"36"	"VU"	"EN"	"5887.08351310003"
"Bactris ptariana"	53170	64	25	13	14	53170	"25"	"93400.7315581841"	"53193.9380652054"	"72"	"LC"	"EN"	"53193.9380652054"
"Bactris riparia"	2447410	164	50	36	38	2447410	"50"	"4073273.33463057"	"2441462.32833302"	"164"	"LC"	"EN"	"2441462.32833302"
"Bactris schultesii"	270489	408	135	48	67	270489	"135"	"395847.71256457"	"270371.431839279"	"412"	"LC"	"EN"	"270371.431839279"
"Bactris setiflora"	546	20	5	4	4	546	"5"	"1224.76575048335"	"546.427771077349"	"20"	"EN"	"EN"	"546.427771077349"
"Bactris setosa"	2236995	420	108	88	97	2236995	"108"	"4538024.40303477"	"2251126.77797172"	"420"	"LC"	"EN"	"2251126.77797172"
"Bactris setulosa"	1927874	320	95	62	72	1927874	"95"	"3855024.9453269"	"1923006.06456666"	"316"	"LC"	"EN"	"1923006.06456666"
"Bactris simplicifrons"	6562768	1812	572	270	349	6562768	"572"	"8991571.50537376"	"6540483.17179096"	"1808"	"LC"	"VU"	"6540483.17179096"
"Bactris soeiroana"	NA	8	2	2	2	42	"2"	"166.392582450023"	"0"	"8"	"CR"	"CR"	"42"
"Bactris sphaerocarpa"	880314	104	33	18	20	880314	"33"	"1649348.8797714"	"872651.489172561"	"120"	"LC"	"EN"	"872651.489172561"
"Bactris syagroides"	80920	24	7	6	6	80920	"7"	"162858.858229785"	"80686.5866613707"	"24"	"LC"	"EN"	"80686.5866613707"
"Bactris tefensis"	11	8	3	2	2	11	"3"	"3138.48962014123"	"11.4419287849236"	"8"	"CR"	"CR"	"11.4419287849236"
"Bactris timbuiensis"	299	32	10	3	4	299	"10"	"438.59936978924"	"298.901273451837"	"36"	"EN"	"EN"	"298.901273451837"
"Bactris tomentosa"	1374118	64	18	15	15	1374118	"18"	"2466073.18094316"	"1365353.4111798"	"64"	"LC"	"EN"	"1365353.4111798"
"Bactris turbinocarpa"	237	8	3	2	2	237	"3"	"199400.265936945"	"236.279858629066"	"12"	"EN"	"EN"	"236.279858629066"
"Bactris vulgaris"	439818	176	46	37	39	439818	"46"	"2268287.39540039"	"485904.243760351"	"176"	"LC"	"EN"	"485904.243760351"
"Balaka samoensis"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Barcella odora"	114645	40	14	7	7	114645	"14"	"169222.399796374"	"114616.498696465"	"48"	"LC"	"EN"	"114616.498696465"
"Basselinia deplanchei"	2530	104	33	10	13	2530	"33"	"10010.3938032482"	"2531.87668626424"	"108"	"EN"	"EN"	"2531.87668626424"
"Basselinia eriostachys"	647	20	7	5	5	647	"7"	"6588.92842169739"	"639.56742431665"	"20"	"EN"	"EN"	"639.56742431665"
"Basselinia favieri"	8	8	3	1	1	1	"3"	"2.53928999314243"	"0.531858390372515"	"12"	"CR"	"EN"	"0.531858390372515"
"Basselinia glabrata"	1366	36	10	5	5	1366	"10"	"31075.0018847515"	"1339.09277294583"	"36"	"EN"	"EN"	"1339.09277294583"
"Basselinia gracilis"	9840	252	79	24	40	9840	"79"	"58512.8349075329"	"9824.9187134657"	"268"	"VU"	"EN"	"9824.9187134657"
"Basselinia humboldtiana"	1211	16	5	3	4	1211	"5"	"7155.98688430698"	"1204.80274303808"	"20"	"EN"	"EN"	"1204.80274303808"
"Basselinia iterata"	8	8	4	1	1	2	"4"	"19.8721039002827"	"1.69691768651485"	"16"	"CR"	"EN"	"1.69691768651485"
"Basselinia pancheri"	13864	312	112	22	43	13864	"112"	"63479.5875547621"	"13903.6008179892"	"316"	"VU"	"EN"	"13903.6008179892"
"Basselinia porphyrea"	13	8	3	2	2	13	"3"	"514.341397971728"	"13.2359658623266"	"12"	"CR"	"EN"	"13.2359658623266"
"Basselinia sordida"	2778	32	11	4	5	2778	"11"	"11478.4959059551"	"2797.31347311638"	"32"	"EN"	"EN"	"2797.31347311638"
"Basselinia tomentosa"	28	12	6	2	2	28	"6"	"54.5709085088417"	"28.3013646015253"	"20"	"CR"	"EN"	"28.3013646015253"
"Basselinia velutina"	2721	36	13	6	6	2721	"13"	"18706.830775645"	"2753.09580121552"	"44"	"EN"	"EN"	"2753.09580121552"
"Basselinia vestita"	8	8	5	1	1	1	"5"	"2.7618997341402"	"1.38068211254048"	"12"	"CR"	"EN"	"1.38068211254048"
"Beccariophoenix alfredii"	163	8	4	2	2	163	"4"	"85542.0622419346"	"165.907059643539"	"8"	"EN"	"CR"	"165.907059643539"
"Beccariophoenix fenestralis"	393.9	8	3	1	1	393.9	"3"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Beccariophoenix madagascariensis"	63047	84	32	14	14	63047	"32"	"316867.220732037"	"60156.7333506463"	"80"	"LC"	"EN"	"60156.7333506463"
"Bismarckia nobilis"	260486	60	17	12	13	260486	"17"	"509515.741090594"	"258646.66435919"	"60"	"LC"	"EN"	"258646.66435919"
"Borassodendron borneense"	167925	36	11	9	9	167925	"11"	"305244.470911469"	"168047.139261957"	"36"	"LC"	"EN"	"168047.139261957"
"Borassodendron machadonis"	10292	12	3	3	3	10292	"3"	"74609.5081402731"	"10257.7854513337"	"12"	"VU"	"EN"	"10257.7854513337"
"Borassus aethiopum"	17702380	3436	1236	175	425	17702380	"1236"	"34064977.6028692"	"16844939.8975835"	"3428"	"LC"	"LC"	"16844939.8975835"
"Borassus akeassii"	344005	40	15	6	8	344005	"15"	"672958.133877026"	"342368.894975067"	"40"	"LC"	"EN"	"342368.894975067"
"Borassus flabellifer"	10226372	64	18	12	13	10226372	"18"	"28404250.1671946"	"10460760.4706758"	"64"	"LC"	"EN"	"10460760.4706758"
"Borassus heineanus"	67797	20	6	5	5	67797	"6"	"187510.606108194"	"67826.3907797861"	"20"	"LC"	"EN"	"67826.3907797861"
"Borassus madagascariensis"	66136	32	10	7	7	66136	"10"	"173727.816152241"	"65149.2545088953"	"40"	"LC"	"EN"	"65149.2545088953"
"Brahea aculeata"	51899	116	41	16	21	51899	"41"	"115038.202148117"	"51935.0566997707"	"124"	"LC"	"EN"	"51935.0566997707"
"Brahea armata"	272514	180	58	21	30	272514	"58"	"495617.451117738"	"272869.973591449"	"176"	"LC"	"EN"	"272869.973591449"
