"size" "decay" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
9 2 0.725184453227931 0.413365706449531 0.0809064358598409 0.179111242196272
9 5 0.701261998870695 0.36566007806429 0.0996498269668826 0.216854251530218
9 8 0.688435911914173 0.340899707309191 0.095161247309382 0.204871468047532
9 10 0.556322228496142 0.0825799555181756 0.0946570763947144 0.149156412623718
11 0.005 0.699348767174854 0.383885508421917 0.079129277963724 0.165209336926801
11 0.01 0.717605872388481 0.42187546719586 0.0854034781444464 0.174514468564873
11 0.05 0.719693205345379 0.42550382172355 0.086857743193835 0.17664223281067
11 0.1 0.71620082815735 0.416137842261269 0.0888009783164484 0.183391135941792
11 0.5 0.732135328439676 0.43688223809351 0.0824308841009171 0.177945975416412
11 1 0.729487107095803 0.427233486403716 0.0805040192584086 0.173366792853388
11 2 0.717651044607566 0.398531905026949 0.0869203959077569 0.189337001878781
11 5 0.703003011481272 0.370097289776443 0.0932705386289643 0.198525550787893
11 8 0.684779785431959 0.331761679959262 0.100051651905049 0.214759511893647
11 10 0.532798795407491 0.0467348886450915 0.0880080457550992 0.122046302985718
13 0.005 0.705724637681159 0.397833290805129 0.0878218097951381 0.178345462783374
13 0.01 0.722428006775833 0.430054746668049 0.0880289880251093 0.181606770100075
13 0.05 0.708613777526821 0.403310832713195 0.0822401930488906 0.168638427964556
13 0.1 0.712546583850932 0.409658034948002 0.0860302483923189 0.179256821760182
13 0.5 0.732510822510823 0.438501037295191 0.0825950557462137 0.178658382176838
13 1 0.728085827216262 0.424920393390998 0.0801758269993267 0.172972571493624
13 2 0.722965367965368 0.409431283852551 0.0842897264506381 0.18383784594344
13 5 0.702507058159232 0.368184183069783 0.0921646422849206 0.200650117942354
13 8 0.68628740824393 0.335053390978301 0.096487405764812 0.208896223081106
13 10 0.544696028609072 0.0690352394083675 0.0955477960235893 0.141736498901317
