Tree_name	Acc_name	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Geonoma braunii	Geonoma braunii	non-LC	non-LC	1	0	0	0	0	1	2	0	0	2	1.2	understorey	13	NA	0.32	0.22	0.74	0.65	0.81	0.6	0.51	0.69	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma brenesii	Geonoma brenesii	non-LC	NA	1	0	0	0	0	1	1	0	0	0.4	1.2	understorey	11	0.68	0.3	0.43	0.73	0.69	0.76	0.61	0.6	0.62	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma brongniartii	Geonoma brongniartii	LC	LC	1	0	0	0	1	0	2	0	0	1	3.5	understorey	13	1.04	0.84	NA	0.68	0.53	0.83	0.569302326	0.45	0.65	small	ovoid	black	black	cryptic	0	0	0	0	1	0	1	0	0	0
Geonoma calyptrogynoidea	Geonoma calyptrogynoidea	LC	LC	1	0	0	0	0	1	2	0	0	4	2.2	understorey	15	NA	1.19	0.5	1.32	NA	NA	1	NA	NA	small	NA	green?	NA	NA	0	0	0	0	1	0	1	0	0	0
Geonoma camana	Geonoma camana	LC	LC	1	0	0	0	0	1	1	0	0	2	4	understorey	14	1	1.37	1.45	1.07	0.87	1.35	0.694090909	0.6	0.89	small	globose	green; black or bluish-black	green; black	cryptic	1	0	0	0	0	0	1	0	0	1
Geonoma chlamydostachys	Geonoma chlamydostachys	non-LC	LC	1	0	0	0	0	1	1	0	0	2.5	2	understorey	7	0.68	0.6	0.1	1.23	1	1.23	0.6	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma chococola	Geonoma chococola	non-LC	NA	1	0	0	0	0	1	2	0	0	3	5	understorey	21	1.98	1.37	0.66	1.89	1.48	2.49	1.570526316	1.13	1.78	small	globose	black	black	cryptic	0	0	0	0	0	0	1	0	0	0
Geonoma concinna	Geonoma concinna	non-LC	NA	1	0	0	0	0	1	0	0	0	3.5	1.2	understorey	11	0.49	0.4	0.11	0.77	0.6	0.83	0.67	0.61	0.73	small	NA	black	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma concinnoidea	Geonoma concinnoidea	LC	LC	1	0	0	0	0	1	2	0	0	4	1	understorey	8	NA	0.37	0.19	0.73	0.64	0.77	0.54	0.46	0.59	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma congesta	Geonoma congesta	LC	LC	1	0	0	0	0	1	0	0	0	8	4	canopy	15	1.83	1.32	0.56	1.24	0.97	1.52	0.97625	0.81	1.17	small	NA	black	black	cryptic	0	0	0	0	0	0	1	0	0	0
Geonoma cuneata	Geonoma cuneata	non-LC	LC	1	0	0	0	0	1	2	0	0	3	3.4	understorey	17	1.2	2.5	0.54	0.76	0.5	1.16	0.539259259	0.44	0.65	small	globose	black	black	cryptic	1	0	0	0	1	0	1	1	0	1
Geonoma deneversii	Geonoma deneversii	non-LC	NA	1	0	0	0	0	1	1	0	0	1.3	NA	understorey	20	NA	1.045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma deversa	Geonoma deversa	LC	LC	1	0	0	0	0	1	2	0	0	7	3	canopy	18	1.75	0.93	0.95	0.66	0.44	0.81	0.566756757	0.44	0.74	small	elongate	purplish-black	black	cryptic	0	1	0	0	1	0	1	1	0	1
Geonoma dindoensis	Geonoma dindoensis	non-LC	non-LC	1	0	0	0	0	1	NA	0	0	2	0.6	understorey	NA	NA	0.27	0.065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma divisa	Geonoma divisa	non-LC	NA	1	0	0	0	0	1	0	0	0	3.5	1.1	understorey	10	0.7	0.55	0.17	0.73	NA	NA	0.66	0.65	0.675	small	NA	black	black	cryptic	0	0	0	0	0	0	0	0	0	0
Geonoma elegans	Geonoma elegans	LC	LC	1	0	0	0	0	1	0	0	0	3	1	understorey	10	NA	0.45	0.29	0.95	0.76	1.23	0.72	0.58	0.92	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma epetiolata	Geonoma epetiolata	LC	LC	1	0	0	0	0	1	2	0	0	3	1.1	understorey	10	0.6	0.51	0.11	0.86	0.73	0.99	0.51	0.47	0.53	small	NA	black	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma euspatha	Geonoma euspatha	LC	LC	1	0	0	0	0	1	2	0	0	3	1.7	understorey	14	NA	0.85	0.76	0.63	0.49	0.84	0.51	0.39	0.68	small	NA	red to black	red; black	conspicuous	0	0	0	0	0	0	0	0	0	0
Geonoma ferruginea	Geonoma ferruginea	LC	LC	1	0	0	0	0	1	2	0	0	5	2.5	understorey	9	0.98	0.53	0.5	0.69	0.52	0.93	0.536875	0.42	0.73	small	ovoid	black	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
