"Species"	"Status_BS"	"Status_WS"	"Status_BSWS"
"Calamus rumphii"	"NA"	"NA"	"NA___NA"
"Calamus ruptilis"	"LC"	"nonLC"	"LC___nonLC"
"Calamus ruvidus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus sabalensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus sabensis"	"LC"	"nonLC"	"LC___nonLC"
"Calamus sabut"	"LC"	"LC"	"LC___LC"
"Calamus salicifolius"	"LC"	"LC"	"LC___LC"
"Calamus samian"	"NA"	"NA"	"NA___NA"
"Calamus sarasinorum"	"NA"	"NA"	"NA___NA"
"Calamus sarawakensis"	"LC"	"nonLC"	"LC___nonLC"
"Calamus sashae"	"NA"	"NA"	"NA___NA"
"Calamus scabridulus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus scabrispathus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus scapigerus"	"LC"	"LC"	"LC___LC"
"Calamus schistoacanthus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus schlechteri"	"NA"	"NA"	"NA___NA"
"Calamus schlechterianus"	"LC"	"LC"	"LC___LC"
"Calamus scipionum"	"NA"	"NA"	"NA___NA"
"Calamus scleracanthus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus sedens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus sedisspirituum"	"NA"	"NA"	"NA___NA"
"Calamus sekundurensis"	"NA"	"NA"	"NA___NA"
"Calamus senalingensis"	"NA"	"NA"	"NA___NA"
"Calamus sepal"	"LC"	"nonLC"	"LC___nonLC"
"Calamus seriatus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus serpentinus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus serrulatus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus siberutensis"	"NA"	"NA"	"NA___NA"
"Calamus simplex"	"NA"	"NA"	"NA___NA"
"Calamus singalanus"	"NA"	"NA"	"NA___NA"
"Calamus siphonospathus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus sordidus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus spanostachys"	"NA"	"NA"	"NA___NA"
"Calamus sparsiflorus"	"LC"	"LC"	"LC___LC"
"Calamus spectatissimus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus spiculifer"	"NA"	"NA"	"NA___NA"
"Calamus spinifolius"	"NA"	"NA"	"NA___NA"
"Calamus spinulinervis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus spiralis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus stenophyllus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus stolonifer"	"NA"	"NA"	"NA___NA"
"Calamus suaveolens"	"NA"	"NA"	"NA___NA"
"Calamus subangulatus"	"LC"	"LC"	"LC___LC"
"Calamus sumbawensis"	"NA"	"NA"	"NA___NA"
"Calamus superciliatus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus symphysipus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus takanensis"	"NA"	"NA"	"NA___NA"
"Calamus tanakadatei"	"NA"	"NA"	"NA___NA"
"Calamus temii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus tenompokensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus tenuis"	"LC"	"LC"	"LC___LC"
"Calamus tetradactyloides"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus tetradactylus"	"LC"	"LC"	"LC___LC"
"Calamus thwaitesii"	"LC"	"nonLC"	"LC___nonLC"
"Calamus thysanolepis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus timorensis"	"NA"	"NA"	"NA___NA"
"Calamus toli-toliensis"	"NA"	"NA"	"NA___NA"
"Calamus trachycoleus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus trichrous"	"NA"	"NA"	"NA___NA"
"Calamus tumidus"	"NA"	"NA"	"NA___NA"
"Calamus unifarius"	"NA"	"NA"	"NA___NA"
