"Species"	"Status_BS"	"Status_WS"	"Status_BSWS"
"Chamaedorea parvifolia"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea parvisecta"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea pauciflora"	"LC"	"LC"	"LC___LC"
"Chamaedorea pedunculata"	"NA"	"NA"	"NA___NA"
"Chamaedorea pinnatifrons"	"LC"	"LC"	"LC___LC"
"Chamaedorea piscifolia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea pittieri"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea plumosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea pochutlensis"	"LC"	"LC"	"LC___LC"
"Chamaedorea ponderosa"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea pumila"	"LC"	"LC"	"LC___LC"
"Chamaedorea pygmaea"	"LC"	"LC"	"LC___LC"
"Chamaedorea queroana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea radicalis"	"LC"	"LC"	"LC___LC"
"Chamaedorea recurvata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea rhizomatosa"	"NA"	"NA"	"NA___NA"
"Chamaedorea ricardoi"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea rigida"	"NA"	"NA"	"NA___NA"
"Chamaedorea robertii"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea rojasiana"	"LC"	"LC"	"LC___LC"
"Chamaedorea rosibeliae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea rossteniorum"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea sartorii"	"LC"	"LC"	"LC___LC"
"Chamaedorea scheryi"	"LC"	"LC"	"LC___LC"
"Chamaedorea schiedeana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea schippii"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea seifrizii"	"LC"	"LC"	"LC___LC"
"Chamaedorea serpens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea simplex"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea skutchii"	"NA"	"NA"	"NA___NA"
"Chamaedorea smithii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea stenocarpa"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea stolonifera"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea stricta"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea subjectifolia"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea tenerrima"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea tepejilote"	"LC"	"LC"	"LC___LC"
"Chamaedorea tuerckheimii"	"LC"	"LC"	"LC___LC"
"Chamaedorea undulatifolia"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea verapazensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea verecunda"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea volcanensis"	"NA"	"NA"	"NA___NA"
"Chamaedorea vulgata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea warscewiczii"	"LC"	"LC"	"LC___LC"
"Chamaedorea whitelockiana"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea woodsoniana"	"LC"	"LC"	"LC___LC"
"Chamaedorea zamorae"	"LC"	"nonLC"	"LC___nonLC"
"Chamaerops humilis"	"LC"	"LC"	"LC___LC"
"Chambeyronia lepidota"	"LC"	"LC"	"LC___LC"
"Chambeyronia macrocarpa"	"LC"	"LC"	"LC___LC"
"Chelyocarpus chuco"	"LC"	"nonLC"	"LC___nonLC"
"Chelyocarpus dianeurus"	"LC"	"nonLC"	"LC___nonLC"
"Chelyocarpus repens"	"LC"	"nonLC"	"LC___nonLC"
"Chelyocarpus ulei"	"LC"	"LC"	"LC___LC"
"Chuniophoenix hainanensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chuniophoenix nana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Clinosperma bracteale"	"LC"	"LC"	"LC___LC"
"Clinosperma lanuginosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Clinosperma macrocarpa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Clinosperma vaginata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Clinostigma carolinense"	"NA"	"NA"	"NA___NA"
"Clinostigma collegarum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Clinostigma exorrhizum"	"LC"	"LC"	"LC___LC"
"Clinostigma gronophyllum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Clinostigma haerestigma"	"NA"	"NA"	"NA___NA"
"Clinostigma harlandii"	"NA"	"NA"	"NA___NA"
"Clinostigma onchorhynchum"	"NA"	"NA"	"NA___NA"
"Clinostigma ponapense"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Clinostigma samoense"	"NA"	"NA"	"NA___NA"
"Clinostigma savoryanum"	"NA"	"NA"	"NA___NA"
"Clinostigma warburgii"	"NA"	"NA"	"NA___NA"
"Coccothrinax acunana"	"NA"	"NA"	"NA___NA"
"Coccothrinax alexandri"	"NA"	"NA"	"NA___NA"
"Coccothrinax alta"	"LC"	"nonLC"	"LC___nonLC"
"Coccothrinax argentata"	"LC"	"LC"	"LC___LC"
"Coccothrinax argentea"	"LC"	"nonLC"	"LC___nonLC"
"Coccothrinax baracoensis"	"NA"	"NA"	"NA___NA"
"Coccothrinax barbadensis"	"LC"	"LC"	"LC___LC"
"Coccothrinax bermudezii"	"NA"	"NA"	"NA___NA"
"Coccothrinax borhidiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax boschiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax camagueyana"	"NA"	"NA"	"NA___NA"
"Coccothrinax clarensis"	"NA"	"NA"	"NA___NA"
"Coccothrinax concolor"	"NA"	"NA"	"NA___NA"
"Coccothrinax crinita"	"NA"	"NA"	"NA___NA"
"Coccothrinax cupularis"	"NA"	"NA"	"NA___NA"
"Coccothrinax ekmanii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax elegans"	"NA"	"NA"	"NA___NA"
"Coccothrinax fagildei"	"NA"	"NA"	"NA___NA"
"Coccothrinax fragrans"	"NA"	"NA"	"NA___NA"
"Coccothrinax garciana"	"NA"	"NA"	"NA___NA"
"Coccothrinax gracilis"	"LC"	"nonLC"	"LC___nonLC"
"Coccothrinax guantanamensis"	"NA"	"NA"	"NA___NA"
"Coccothrinax gundlachii"	"NA"	"NA"	"NA___NA"
"Coccothrinax hioramii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax inaguensis"	"NA"	"NA"	"NA___NA"
"Coccothrinax jamaicensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax jimenezii"	"NA"	"NA"	"NA___NA"
"Coccothrinax leonis"	"NA"	"NA"	"NA___NA"
"Coccothrinax litoralis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax macroglossa"	"NA"	"NA"	"NA___NA"
"Coccothrinax microphylla"	"NA"	"NA"	"NA___NA"
"Coccothrinax miraguama"	"NA"	"NA"	"NA___NA"
"Coccothrinax moaensis"	"NA"	"NA"	"NA___NA"
"Coccothrinax montana"	"NA"	"NA"	"NA___NA"
"Coccothrinax munizii"	"NA"	"NA"	"NA___NA"
"Coccothrinax muricata"	"NA"	"NA"	"NA___NA"
"Coccothrinax nipensis"	"NA"	"NA"	"NA___NA"
"Coccothrinax orientalis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax pauciramosa"	"NA"	"NA"	"NA___NA"
"Coccothrinax proctorii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax pseudorigida"	"NA"	"NA"	"NA___NA"
"Coccothrinax pumila"	"NA"	"NA"	"NA___NA"
"Coccothrinax readii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax rigida"	"NA"	"NA"	"NA___NA"
"Coccothrinax salvatoris"	"NA"	"NA"	"NA___NA"
"Coccothrinax saxicola"	"NA"	"NA"	"NA___NA"
"Coccothrinax scoparia"	"NA"	"NA"	"NA___NA"
"Coccothrinax spissa"	"LC"	"nonLC"	"LC___nonLC"
"Coccothrinax torrida"	"NA"	"NA"	"NA___NA"
"Coccothrinax trinitensis"	"NA"	"NA"	"NA___NA"
"Coccothrinax victorinii"	"NA"	"NA"	"NA___NA"
"Coccothrinax yunquensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Coccothrinax yuraguana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cocos nucifera"	"LC"	"LC"	"LC___LC"
"Colpothrinax aphanopetala"	"LC"	"nonLC"	"LC___nonLC"
"Colpothrinax cookii"	"LC"	"nonLC"	"LC___nonLC"
"Colpothrinax wrightii"	"NA"	"NA"	"NA___NA"
"Copernicia alba"	"LC"	"LC"	"LC___LC"
"Copernicia baileyana"	"NA"	"NA"	"NA___NA"
"Copernicia berteroana"	"LC"	"nonLC"	"LC___nonLC"
"Copernicia brittonorum"	"NA"	"NA"	"NA___NA"
"Copernicia cowellii"	"NA"	"NA"	"NA___NA"
"Copernicia curbeloi"	"NA"	"NA"	"NA___NA"
"Copernicia curtissii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Copernicia ekmanii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Copernicia fallaensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Copernicia gigas"	"NA"	"NA"	"NA___NA"
"Copernicia glabrescens"	"NA"	"NA"	"NA___NA"
"Copernicia hospita"	"NA"	"NA"	"NA___NA"
"Copernicia humicola"	"NA"	"NA"	"NA___NA"
"Copernicia longiglossa"	"NA"	"NA"	"NA___NA"
"Copernicia macroglossa"	"NA"	"NA"	"NA___NA"
"Copernicia molinetii"	"NA"	"NA"	"NA___NA"
"Copernicia oxycalyx"	"NA"	"NA"	"NA___NA"
"Copernicia prunifera"	"LC"	"LC"	"LC___LC"
"Copernicia rigida"	"NA"	"NA"	"NA___NA"
"Copernicia roigii"	"NA"	"NA"	"NA___NA"
"Copernicia tectorum"	"LC"	"LC"	"LC___LC"
"Copernicia yarey"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Corypha lecomtei"	"LC"	"nonLC"	"LC___nonLC"
"Corypha microclada"	"NA"	"NA"	"NA___NA"
"Corypha taliera"	"NA"	"NA"	"NA___NA"
"Corypha umbraculifera"	"NA"	"NA"	"NA___NA"
"Corypha utan"	"LC"	"LC"	"LC___LC"
"Cryosophila bartlettii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cryosophila cookii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cryosophila grayumii"	"LC"	"nonLC"	"LC___nonLC"
"Cryosophila guagara"	"LC"	"nonLC"	"LC___nonLC"
"Cryosophila kalbreyeri"	"LC"	"LC"	"LC___LC"
"Cryosophila macrocarpa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cryosophila nana"	"NA"	"NA"	"NA___NA"
"Cryosophila stauracantha"	"LC"	"LC"	"LC___LC"
"Cryosophila warscewiczii"	"LC"	"LC"	"LC___LC"
"Cryosophila williamsii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyphokentia cerifera"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyphokentia macrostachya"	"LC"	"LC"	"LC___LC"
"Cyphophoenix alba"	"LC"	"LC"	"LC___LC"
"Cyphophoenix elegans"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyphophoenix fulcita"	"LC"	"LC"	"LC___LC"
"Cyphophoenix nucele"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyphosperma balansae"	"LC"	"LC"	"LC___LC"
"Cyphosperma naboutinense"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyphosperma tanga"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyphosperma trichospadix"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyphosperma voutmelense"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyrtostachys bakeri"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyrtostachys barbata"	"NA"	"NA"	"NA___NA"
"Cyrtostachys elegans"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyrtostachys excelsa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Cyrtostachys glauca"	"LC"	"LC"	"LC___LC"
"Cyrtostachys loriae"	"LC"	"LC"	"LC___LC"
"Cyrtostachys renda"	"LC"	"LC"	"LC___LC"
"Deckenia nobilis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus chinantlensis"	"LC"	"LC"	"LC___LC"
"Desmoncus cirrhifer"	"LC"	"LC"	"LC___LC"
"Desmoncus costaricensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus giganteus"	"LC"	"LC"	"LC___LC"
"Desmoncus horridus"	"LC"	"LC"	"LC___LC"
"Desmoncus interjectus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus kunarius"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus latisectus"	"LC"	"nonLC"	"LC___nonLC"
"Desmoncus leptoclonos"	"LC"	"LC"	"LC___LC"
"Desmoncus loretanus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus madrensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus mitis"	"LC"	"LC"	"LC___LC"
"Desmoncus moorei"	"LC"	"nonLC"	"LC___nonLC"
"Desmoncus myriacanthos"	"LC"	"LC"	"LC___LC"
"Desmoncus obovoideus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus orthacanthos"	"LC"	"LC"	"LC___LC"
"Desmoncus osensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus parvulus"	"LC"	"LC"	"LC___LC"
"Desmoncus polyacanthos"	"LC"	"LC"	"LC___LC"
"Desmoncus prunifer"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus pumilus"	"LC"	"nonLC"	"LC___nonLC"
"Desmoncus setosus"	"LC"	"nonLC"	"LC___nonLC"
"Desmoncus stans"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Desmoncus vacivus"	"LC"	"LC"	"LC___LC"
"Dictyocaryum fuscum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dictyocaryum lamarckianum"	"LC"	"LC"	"LC___LC"
"Dictyocaryum ptarianum"	"LC"	"LC"	"LC___LC"
"Dictyosperma album"	"LC"	"nonLC"	"LC___nonLC"
"Dransfieldia micrantha"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Drymophloeus litigiosus"	"LC"	"nonLC"	"LC___nonLC"
"Drymophloeus oliviformis"	"LC"	"nonLC"	"LC___nonLC"
"Drymophloeus whitmeeanus"	"NA"	"NA"	"NA___NA"
"Dypsis acaulis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis acuminum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis albofarinosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis ambanjae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis ambilaensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis ambositrae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis andapae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis andilamenensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis andrianatonga"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis angusta"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis angustifolia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis anjae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis ankaizinensis"	"NA"	"NA"	"NA___NA"
"Dypsis ankirindro"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis antanambensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis aquatilis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis arenarum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis baronii"	"LC"	"LC"	"LC___LC"
"Dypsis basilonga"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis beentjei"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis bejofo"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis bernieriana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis betamponensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis betsimisarakae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis boiviniana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis bonsai"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis bosseri"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis brevicaulis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis brittiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis cabadae"	"NA"	"NA"	"NA___NA"
"Dypsis canaliculata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis carlsmithii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis catatiana"	"LC"	"LC"	"LC___LC"
"Dypsis caudata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis ceracea"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis commersoniana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis concinna"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis confusa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis cookei"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis coriacea"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis corniculata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis coursii"	"LC"	"LC"	"LC___LC"
"Dypsis crinita"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis culminis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis curtisii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis decaryi"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis decipiens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis delicatula"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis digitata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis dracaenoides"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis dransfieldii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis elegans"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis eriostachys"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis faneva"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis fanjana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis fasciculata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis fibrosa"	"LC"	"LC"	"LC___LC"
"Dypsis forficifolia"	"LC"	"LC"	"LC___LC"
"Dypsis furcata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis gautieri"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis glabrescens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis gronophyllum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis henrici"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis heteromorpha"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis heterophylla"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis hiarakae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis hildebrandtii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis hovomantsina"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis humbertii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis humblotiana"	"NA"	"NA"	"NA___NA"
"Dypsis humilis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis ifanadianae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis integra"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis intermedia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis interrupta"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis jeremiei"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis jumelleana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis laevis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis lanceolata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis lantzeana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis lanuginosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis lastelliana"	"LC"	"LC"	"LC___LC"
"Dypsis leptocheilos"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis leucomalla"	"NA"	"NA"	"NA___NA"
"Dypsis lilacina"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis linearis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis lokohoensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis louvelii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis lutea"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis lutescens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis madagascariensis"	"LC"	"LC"	"LC___LC"
"Dypsis mahia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis makirae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis malcomberi"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis mananjarensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis mangorensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis marojejyi"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis mcdonaldiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis metallica"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis minuta"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis mirabilis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis mocquerysiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis montana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis moorei"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis nauseosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis nodifera"	"LC"	"LC"	"LC___LC"
"Dypsis nossibensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis occidentalis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis onilahensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis oreophila"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis oropedionis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis ovobontsira"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis pachyramea"	"LC"	"LC"	"LC___LC"
"Dypsis paludosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis pembana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis perrieri"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis pervillei"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis pilulifera"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis pinnatifrons"	"LC"	"LC"	"LC___LC"
"Dypsis plumosa"	"NA"	"NA"	"NA___NA"
"Dypsis poivreana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis prestoniana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis procera"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis procumbens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis psammophila"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis pulchella"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis pumila"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis pusilla"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis pustulata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis rakotonasoloi"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis ramentacea"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis reflexa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis remotiflora"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis rivularis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis robusta"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis rosea"	"NA"	"NA"	"NA___NA"
"Dypsis sahanofensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis saintelucei"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis sancta"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis sanctaemariae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis scandens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis schatzii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis scottiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis serpentina"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis simianensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis singularis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis soanieranae"	"NA"	"NA"	"NA___NA"
"Dypsis spicata"	"LC"	"LC"	"LC___LC"
"Dypsis subacaulis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis tanalensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis tenuissima"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis thermarum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis thiryana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis thouarsiana"	"NA"	"NA"	"NA___NA"
"Dypsis tokoravina"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis trapezoidea"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis tsaratananensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis tsaravoasira"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis turkii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis utilis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis viridis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Dypsis vonitrandambo"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Elaeis guineensis"	"LC"	"LC"	"LC___LC"
"Elaeis oleifera"	"LC"	"LC"	"LC___LC"
"Eleiodoxa conferta"	"LC"	"LC"	"LC___LC"
"Eremospatha barendii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Eremospatha cabrae"	"LC"	"LC"	"LC___LC"
"Eremospatha cuspidata"	"LC"	"LC"	"LC___LC"
"Eremospatha dransfieldii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Eremospatha haullevilleana"	"LC"	"LC"	"LC___LC"
"Eremospatha hookeri"	"LC"	"LC"	"LC___LC"
"Eremospatha laurentii"	"LC"	"LC"	"LC___LC"
"Eremospatha macrocarpa"	"LC"	"LC"	"LC___LC"
