"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Calamus nematospadix"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus nicobaricus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus nicolai"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus nielsenii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus niger"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus nitidus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus novae-georgii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus nuichuaensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus oblatus"	0.66370846398315	0.627016077932541	0.0015164678877995	0.66370846398315	0.627016077932541	0.0015164678877995	0.659885521445423	0.627016077932541	0.00203321929588337	0.614636612024403	0.721668270712527	0.0015164678877995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus oblongus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus occidentalis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus ochrolepis"	0.672913620130137	0.628582320710844	0.000162436496808729	1	0	0	0.670795912425168	0.632667059108549	0.000162436496808729	0.624653777185951	0.721668270711771	0.000162436496808729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus ocreatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus oligolepis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus oligophyllus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus oligostachys"	0.642315462502942	0.656328583602219	0.00235400322267879	0.790674497909412	0.402928097970109	5.8108386586136e-05	0.790674497909412	0.402928097970109	5.8108386586136e-05	0.641882901740337	0.657080319067363	0.00235979234424761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus optimus"	0.703757232052324	0.570118733803268	9.03197431176956e-05	1	0	0	0.726626994362737	0.52600641554682	9.03197431176956e-05	0.694687099388337	0.587396234971524	0.000105555903871447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus oresbius"	0.629336382929239	0.635438310598402	0.00557236181864279	1	0	0	0.608489983868548	0.636772918508789	0.00829666533021959	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus ornatus"	1	0	0	1	0	0	1	0	0	0.641077218454544	0.624891549855659	0.00472444263466691	1	0	0	1	0	0	1	0	0	0.641077218454544	0.624891549855659	0.00472444263466691
"Calamus orthostachyus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus ovoideus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus oxleyanus"	0.66843516483027	0.588855651858491	0.0035517852362021	1	0	0	0.68124008109652	0.564156901870748	0.0035517852362021	0.668435164830276	0.58885565185848	0.0035517852362021	0.66843516483027	0.588855651858491	0.0035517852362021	1	0	0	0.68124008109652	0.564156901870748	0.0035517852362021	0.668435164830276	0.58885565185848	0.0035517852362021
