"Continent"	"LC__RLa__PER"	"nonLC__RLa__PER"	"LC__RLa__NUM"	"nonLC__RLa__NUM"	"LC__RLro__PER"	"nonLC__RLro__PER"	"LC__RLro__NUM"	"nonLC__RLro__NUM"	"LC__RLr__PER"	"nonLC__RLr__PER"	"LC__RLr__NUM"	"nonLC__RLr__NUM"	"LC__RLa_MLp_BS__PER"	"nonLC__RLa_MLp_BS__PER"	"LC__RLa_MLp_BS__NUM"	"nonLC__RLa_MLp_BS__NUM"	"LC__RLro_MLpr_BS__PER"	"nonLC__RLro_MLpr_BS__PER"	"LC__RLro_MLpr_BS__NUM"	"nonLC__RLro_MLpr_BS__NUM"	"LC__RLr_MLpr_BS__PER"	"nonLC__RLr_MLpr_BS__PER"	"LC__RLr_MLpr_BS__NUM"	"nonLC__RLr_MLpr_BS__NUM"	"LC__RLa_MLp_WS__PER"	"nonLC__RLa_MLp_WS__PER"	"LC__RLa_MLp_WS__NUM"	"nonLC__RLa_MLp_WS__NUM"	"LC__RLro_MLpr_WS__PER"	"nonLC__RLro_MLpr_WS__PER"	"LC__RLro_MLpr_WS__NUM"	"nonLC__RLro_MLpr_WS__NUM"	"LC__RLr_MLpr_WS__PER"	"nonLC__RLr_MLpr_WS__PER"	"LC__RLr_MLpr_WS__NUM"	"nonLC__RLr_MLpr_WS__NUM"	"LC__RLro_MLpr_EG_BS__PER"	"nonLC__RLro_MLpr_EG_BS__PER"	"LC__RLro_MLpr_EG_BS__NUM"	"nonLC__RLro_MLpr_EG_BS__NUM"	"LC__RLro_MLpr_EG_WS__PER"	"nonLC__RLro_MLpr_EG_WS__PER"	"LC__RLro_MLpr_EG_WS__NUM"	"nonLC__RLro_MLpr_EG_WS__NUM"	"Category"
"23"	"Americas"	14.8148148148148	85.1851851851852	8	46	40	60	4	6	50	50	4	4	57.5221238938053	42.4778761061947	65	48	91.1504424778761	8.84955752212389	103	10	92.7927927927928	7.20720720720721	103	8	49.5575221238938	50.4424778761062	56	57	76.9911504424779	23.0088495575221	87	26	78.3783783783784	21.6216216216216	87	24	90.6779661016949	9.32203389830508	107	11	77.1186440677966	22.8813559322034	91	27	"Used_speciesC"
"24"	"EAsiaPacific"	33.3333333333333	66.6666666666667	13	26	38.0952380952381	61.9047619047619	8	13	53.3333333333333	46.6666666666667	8	7	51.3157894736842	48.6842105263158	39	37	59.2105263157895	40.7894736842105	45	31	64.2857142857143	35.7142857142857	45	25	34.2105263157895	65.7894736842105	26	50	36.8421052631579	63.1578947368421	28	48	40	60	28	42	58.2278481012658	41.7721518987342	46	33	36.7088607594937	63.2911392405063	29	50	"Used_speciesC"
"25"	"A_World"	22.4056603773585	77.5943396226415	95	329	26.2357414448669	73.7642585551331	69	194	38.3720930232558	61.6279069767442	66	106	40.3636363636364	59.6363636363636	333	492	48.7272727272727	51.2727272727273	402	423	54.3596730245232	45.6403269754768	399	335	24.969696969697	75.030303030303	206	619	27.8787878787879	72.1212121212121	230	595	30.9264305177112	69.0735694822888	227	507	45.4831932773109	54.5168067226891	433	519	27.4159663865546	72.5840336134454	261	691	"FD_species"
"26"	"AfricaWAsia"	32.9113924050633	67.0886075949367	26	53	33.3333333333333	66.6666666666667	26	52	33.3333333333333	66.6666666666667	26	52	40.625	59.375	39	57	41.6666666666667	58.3333333333333	40	56	41.6666666666667	58.3333333333333	40	56	34.375	65.625	33	63	35.4166666666667	64.5833333333333	34	62	35.4166666666667	64.5833333333333	34	62	40.4040404040404	59.5959595959596	40	59	34.3434343434343	65.6565656565657	34	65	"FD_species"
"27"	"Americas"	19.3548387096774	80.6451612903226	18	75	55.5555555555556	44.4444444444444	15	12	60.8695652173913	39.1304347826087	14	9	46.4285714285714	53.5714285714286	91	105	67.8571428571429	32.1428571428571	133	63	68.75	31.25	132	60	33.1632653061224	66.8367346938776	65	131	42.3469387755102	57.6530612244898	83	113	42.7083333333333	57.2916666666667	82	110	66.8316831683168	33.1683168316832	135	67	42.0792079207921	57.9207920792079	85	117	"FD_species"
"28"	"EAsiaPacific"	20.2380952380952	79.7619047619048	51	201	17.7215189873418	82.2784810126582	28	130	36.6197183098592	63.3802816901408	26	45	38.0863039399625	61.9136960600375	203	330	42.9643527204503	57.0356472795497	229	304	50.8968609865471	49.1031390134529	227	219	20.2626641651032	79.7373358348968	108	425	21.2007504690432	78.7992495309568	113	420	24.8878923766816	75.1121076233184	111	335	39.63133640553	60.36866359447	258	393	21.8125960061444	78.1874039938556	142	509	"FD_species"
"29"	"A_World"	25.531914893617	74.468085106383	96	280	32.15859030837	67.84140969163	73	154	45.1388888888889	54.8611111111111	65	79	42.0621931260229	57.9378068739771	257	354	53.518821603928	46.481178396072	327	284	60.4166666666667	39.5833333333333	319	209	30.9328968903437	69.0671031096563	189	422	35.6792144026187	64.3207855973813	218	393	39.7727272727273	60.2272727272727	210	318	50.2202643171806	49.7797356828194	342	339	34.2143906020558	65.7856093979442	233	448	"ED_species"
"30"	"AfricaWAsia"	42.0454545454545	57.9545454545455	37	51	46.25	53.75	37	43	50.6849315068493	49.3150684931507	37	36	49.5327102803738	50.4672897196262	53	54	54.2056074766355	45.7943925233645	58	49	58	42	58	42	42.9906542056075	57.0093457943925	46	61	43.9252336448598	56.0747663551402	47	60	47	53	47	53	50	50	58	58	40.5172413793103	59.4827586206897	47	69	"ED_species"
"31"	"Americas"	22.6993865030675	77.3006134969325	37	126	32.3943661971831	67.6056338028169	23	48	41.025641025641	58.974358974359	16	23	43.5684647302905	56.4315352697095	105	136	64.3153526970954	35.6846473029046	155	86	70.8133971291866	29.1866028708134	148	61	34.0248962655602	65.9751037344398	82	159	44.8132780082988	55.1867219917012	108	133	48.3253588516746	51.6746411483254	101	108	62.2047244094488	37.7952755905512	158	96	43.7007874015748	56.2992125984252	111	143	"ED_species"
"32"	"EAsiaPacific"	17.6	82.4	22	103	17.1052631578947	82.8947368421053	13	63	37.5	62.5	12	20	37.6425855513308	62.3574144486692	99	164	43.3460076045627	56.6539923954373	114	149	51.5981735159817	48.4018264840183	113	106	23.1939163498099	76.8060836501901	61	202	23.9543726235741	76.0456273764259	63	200	28.310502283105	71.689497716895	62	157	40.5144694533762	59.4855305466238	126	185	24.1157556270096	75.8842443729904	75	236	"ED_species"
"33"	"A_World"	22.4904701397713	77.5095298602287	177	610	26.9473684210526	73.0526315789474	128	347	37.5394321766561	62.4605678233439	119	198	41.3388543823326	58.6611456176674	599	850	51.3457556935818	48.6542443064182	744	705	56.9326103795507	43.0673896204493	735	556	27.7432712215321	72.2567287784679	402	1047	31.8840579710145	68.1159420289855	462	987	35.0890782339272	64.9109217660728	453	838	48.1572481572482	51.8427518427518	784	844	30.8353808353808	69.1646191646192	502	1126	"Interesting_species"
"34"	"AfricaWAsia"	28.3018867924528	71.6981132075472	45	114	30.2013422818792	69.7986577181208	45	104	31.6901408450704	68.3098591549296	45	97	33.8888888888889	66.1111111111111	61	119	37.2222222222222	62.7777777777778	67	113	38.728323699422	61.271676300578	67	106	30	70	54	126	30.5555555555556	69.4444444444444	55	125	31.7919075144509	68.2080924855491	55	118	34.8958333333333	65.1041666666667	67	125	28.6458333333333	71.3541666666667	55	137	"Interesting_species"
"35"	"Americas"	22.0973782771536	77.9026217228464	59	208	38	62	38	62	47.6923076923077	52.3076923076923	31	34	48.5655737704918	51.4344262295082	237	251	69.0573770491803	30.9426229508197	337	151	72.8476821192053	27.1523178807947	330	123	37.0901639344262	62.9098360655738	181	307	47.5409836065574	52.4590163934426	232	256	49.6688741721854	50.3311258278146	225	228	67.5146771037182	32.4853228962818	345	166	46.9667318982387	53.0332681017613	240	271	"Interesting_species"
"36"	"EAsiaPacific"	20.2216066481994	79.7783933518006	73	288	19.9115044247788	80.0884955752212	45	181	39.0909090909091	60.9090909090909	43	67	38.5403329065301	61.4596670934699	301	480	43.5339308578745	56.4660691421255	340	441	50.8270676691729	49.1729323308271	338	327	21.3828425096031	78.6171574903969	167	614	22.4071702944942	77.5928297055058	175	606	26.015037593985	73.984962406015	173	492	40.2162162162162	59.7837837837838	372	553	22.3783783783784	77.6216216216216	207	718	"Interesting_species"
