LEVEL3_NAM	LEVEL3_COD	LEVEL2_COD	LEVEL1_COD	LEVEL3_SPE_HUF_B	LEVEL3_SPE_HUMa_B	LEVEL3_SPE_HUMe_B	LEVEL3_SPE_HUC_B	LEVEL3_SPE_HUA_B	LEVEL3_SPE_FD2_B	LEVEL3_SPE_ED2_B	LEVEL3_SPE_COM_B	LEVEL3_SPE_HUF_W	LEVEL3_SPE_HUMa_W	LEVEL3_SPE_HUMe_W	LEVEL3_SPE_HUC_W	LEVEL3_SPE_HUA_W	LEVEL3_SPE_FD2_W	LEVEL3_SPE_ED2_W	LEVEL3_SPE_COM_W	LEVEL3_SPE_HUF_R	LEVEL3_SPE_HUMa_R	LEVEL3_SPE_HUMe_R	LEVEL3_SPE_HUC_R	LEVEL3_SPE_HUA_R	LEVEL3_SPE_FD2_R	LEVEL3_SPE_ED2_R	LEVEL3_SPE_COM_R	LEVEL3_SPE_HUF_B2	LEVEL3_SPE_HUMa_B2	LEVEL3_SPE_HUMe_B2	LEVEL3_SPE_HUC_B2	LEVEL3_SPE_HUA_B2	LEVEL3_SPE_FD2_B2	LEVEL3_SPE_ED2_B2	LEVEL3_SPE_COM_B2	LEVEL3_SPE_HUF_W2	LEVEL3_SPE_HUMa_W2	LEVEL3_SPE_HUMe_W2	LEVEL3_SPE_HUC_W2	LEVEL3_SPE_HUA_W2	LEVEL3_SPE_FD2_W2	LEVEL3_SPE_ED2_W2	LEVEL3_SPE_COM_W2	LEVEL3_SPE_HUF_R2	LEVEL3_SPE_HUMa_R2	LEVEL3_SPE_HUMe_R2	LEVEL3_SPE_HUC_R2	LEVEL3_SPE_HUA_R2	LEVEL3_SPE_FD2_R2	LEVEL3_SPE_ED2_R2	LEVEL3_SPE_COM_R2	LEVEL3_SPE_GAP_RL	LEVEL3_SPE_GAP_RLML	LEVEL3_SPE_speNum	LEVEL3_SPE_speNumCat	Continent
Comoros	COM	29	2	0	16.66666667	0	0	16.66666667	0	0	16.66666667	0	16.66666667	0	0	16.66666667	0	0	16.66666667	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	6	2	9	1-10	AfricaWAsia
Congo	CON	23	2	0	0	0	0	0	0	0	0	0	5	0	0	4.545454545	9.090909091	7.407407407	7.407407407	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	8	1	27	11-50	AfricaWAsia
Cape Provinces	CPP	27	2	0	50	0	0	33.33333333	100	33.33333333	33.33333333	50	50	50	0	66.66666667	100	66.66666667	66.66666667	0	50	0	0	33.33333333	100	33.33333333	33.33333333	0_20	40_60	0_20	0_20	20_40	80_100	20_40	20_40	40_60	40_60	40_60	0_20	60_80	80_100	60_80	60_80	0_20	40_60	0_20	0_20	20_40	80_100	20_40	20_40	1	0	3	1-10	AfricaWAsia
Caprivi Strip	CPV	27	2	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0	0	2	1-10	AfricaWAsia
Cape Verde	CVI	21	2	0	0	0	0	50	50	0	50	0	0	0	0	50	50	0	50	0	0	0	0	50	50	0	50	0_20	0_20	0_20	0_20	40_60	40_60	0_20	40_60	0_20	0_20	0_20	0_20	40_60	40_60	0_20	40_60	0_20	0_20	0_20	0_20	40_60	40_60	0_20	40_60	1	0	2	1-10	AfricaWAsia
Djibouti	DJI	24	2	0	0	0	0	0	0	0	0	0	33.33333333	0	0	25	0	25	25	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	0_20	0_20	20_40	0_20	20_40	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	4	1-10	AfricaWAsia
Egypt	EGY	20	2	0	0	0	0	0	0	0	0	33.33333333	33.33333333	0	33.33333333	33.33333333	0	33.33333333	33.33333333	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	20_40	0_20	20_40	20_40	0_20	20_40	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	3	1-10	AfricaWAsia
Equatorial Guinea	EQG	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	4	1	16	11-50	AfricaWAsia
Eritrea	ERI	24	2	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0	0	2	1-10	AfricaWAsia
Ethiopia	ETH	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0	0	6	1-10	AfricaWAsia
Gabon	GAB	23	2	0	5	0	0	4.545454545	4.545454545	3.703703704	3.703703704	0	5	0	0	4.545454545	9.090909091	7.407407407	7.407407407	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	11	3	28	11-50	AfricaWAsia
Gambia, The	GAM	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	6	0	12	11-50	AfricaWAsia
Gulf of Guinea Is.	GGI	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	6	1	10	1-10	AfricaWAsia
Ghana	GHA	22	2	0	0	0	0	0	6.666666667	5.263157895	5.263157895	0	6.25	0	0	5.882352941	13.33333333	10.52631579	10.52631579	0	0	0	0	0	6.666666667	5.263157895	5.263157895	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	6	0	19	11-50	AfricaWAsia
Guinea-Bissau	GNB	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	10	1-10	AfricaWAsia
Guinea	GUI	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	4	0	12	11-50	AfricaWAsia
Ivory Coast	IVO	22	2	0	0	0	0	0	7.142857143	5.882352941	5.882352941	0	0	0	0	0	7.142857143	5.882352941	5.882352941	0	0	0	0	0	7.142857143	5.882352941	5.882352941	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	4	0	17	11-50	AfricaWAsia
Kenya	KEN	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	12.5	12.5	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	8	1-10	AfricaWAsia
Liberia	LBR	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	4	0	15	11-50	AfricaWAsia
Libya	LBY	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	3	1-10	AfricaWAsia
Lesotho	LES	27	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Mauritius	MAU	29	2	0	0	0	0	8.333333333	0	8.333333333	7.142857143	12.5	10	0	0	16.66666667	0	16.66666667	14.28571429	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	12	5	14	11-50	AfricaWAsia
Mozambique Channel Is.	MCI	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	3	1-10	AfricaWAsia
Madagascar	MDG	29	2	54.83870968	53.57142857	22.22222222	20	60.97560976	90.56603774	71.79487179	81.81818182	54.83870968	53.57142857	22.22222222	20	60.97560976	90.56603774	71.79487179	81.81818182	51.61290323	53.57142857	22.22222222	20	58.53658537	86.79245283	71.79487179	80	40_60	40_60	20_40	20_40	60_80	80_100	60_80	80_100	40_60	40_60	20_40	20_40	60_80	80_100	60_80	80_100	40_60	40_60	20_40	20_40	40_60	80_100	60_80	80_100	16	7	199	>100	AfricaWAsia
Madeira	MDR	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	2	1-10	AfricaWAsia
Mali	MLI	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	5	1-10	AfricaWAsia
Malawi	MLW	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0	0	5	1-10	AfricaWAsia
Morocco	MOR	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	2	1-10	AfricaWAsia
Mozambique	MOZ	26	2	0	11.11111111	0	0	11.11111111	20	11.11111111	11.11111111	0	11.11111111	0	0	11.11111111	20	11.11111111	11.11111111	0	11.11111111	0	0	11.11111111	20	11.11111111	11.11111111	0_20	0_20	0_20	0_20	0_20	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	0_20	0_20	1	0	9	1-10	AfricaWAsia
Mauritania	MTN	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	3	0	4	1-10	AfricaWAsia
Namibia	NAM	27	2	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0	0	2	1-10	AfricaWAsia
KwaZulu-Natal	NAT	27	2	0	25	0	0	20	100	25	20	33.33333333	25	25	0	40	100	50	40	0	25	0	0	20	100	25	20	0_20	20_40	0_20	0_20	20_40	80_100	20_40	20_40	20_40	20_40	20_40	0_20	40_60	80_100	40_60	40_60	0_20	20_40	0_20	0_20	20_40	80_100	20_40	20_40	2	0	5	1-10	AfricaWAsia
Nigeria	NGA	22	2	0	7.692307692	0	9.090909091	7.407407407	3.703703704	6.25	6.25	0	11.53846154	5.263157895	9.090909091	11.11111111	7.407407407	9.375	9.375	0	3.846153846	0	0	3.703703704	3.703703704	3.125	3.125	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	12	2	32	11-50	AfricaWAsia
Niger	NGR	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	6	1-10	AfricaWAsia
Free State	OFS	27	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Réunion	REU	29	2	0	0	0	0	8.333333333	0	0	7.692307692	14.28571429	10	0	0	16.66666667	0	9.090909091	15.38461538	0	0	0	0	8.333333333	0	0	7.692307692	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	11	5	13	11-50	AfricaWAsia
Rodrigues	ROD	29	2	0	33.33333333	100	NA	33.33333333	NA	33.33333333	33.33333333	100	66.66666667	100	NA	66.66666667	NA	66.66666667	66.66666667	0	0	0	NA	0	NA	0	0	0_20	20_40	80_100	NOC	20_40	NOC	20_40	20_40	80_100	60_80	80_100	NOC	60_80	NOC	60_80	60_80	0_20	0_20	0_20	NOC	0_20	NOC	0_20	0_20	3	1	3	1-10	AfricaWAsia
Rwanda	RWA	23	2	0	0	0	0	0	50	25	25	0	0	0	0	0	50	25	25	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	40_60	20_40	20_40	0_20	0_20	0_20	0_20	0_20	40_60	20_40	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	4	1-10	AfricaWAsia
Selvagens	SEL	21	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Senegal	SEN	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	4	0	12	11-50	AfricaWAsia
Seychelles	SEY	29	2	33.33333333	33.33333333	33.33333333	0	40	33.33333333	50	50	33.33333333	33.33333333	33.33333333	0	40	33.33333333	50	50	33.33333333	33.33333333	33.33333333	0	40	33.33333333	50	50	20_40	20_40	20_40	0_20	40_60	20_40	40_60	40_60	20_40	20_40	20_40	0_20	40_60	20_40	40_60	40_60	20_40	20_40	20_40	0_20	40_60	20_40	40_60	40_60	1	0	8	1-10	AfricaWAsia
Sierra Leone	SIE	22	2	0	0	0	0	0	10	7.692307692	7.692307692	0	0	0	0	0	10	7.692307692	7.692307692	0	0	0	0	0	10	7.692307692	7.692307692	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	3	0	13	11-50	AfricaWAsia
Socotra	SOC	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	2	1-10	AfricaWAsia
Somalia	SOM	24	2	0	0	0	0	0	0	0	0	0	16.66666667	0	0	14.28571429	33.33333333	25	25	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	20_40	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	4	0	8	1-10	AfricaWAsia
St.Helena	STH	28	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Sudan	SUD	24	2	0	0	0	0	0	0	0	0	12.5	22.22222222	12.5	14.28571429	22.22222222	16.66666667	22.22222222	22.22222222	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	0_20	0_20	20_40	0_20	20_40	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	3	0	9	1-10	AfricaWAsia
Swaziland	SWZ	27	2	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0	0	1	1-10	AfricaWAsia
Tanzania	TAN	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	10	1-10	AfricaWAsia
Togo	TOG	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	4	0	10	1-10	AfricaWAsia
Tunisia	TUN	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	3	1-10	AfricaWAsia
Northern Provinces	TVL	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0	0	4	1-10	AfricaWAsia
Uganda	UGA	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0	0	6	1-10	AfricaWAsia
Western Sahara	WSA	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	1	1-10	AfricaWAsia
Zaïre	ZAI	23	2	0	3.846153846	0	0	3.448275862	7.692307692	5.555555556	5.555555556	7.142857143	19.23076923	9.523809524	0	17.24137931	19.23076923	16.66666667	16.66666667	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	17	5	36	11-50	AfricaWAsia
Zambia	ZAM	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0	0	6	1-10	AfricaWAsia
Zimbabwe	ZIM	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0	0	4	1-10	AfricaWAsia
Afghanistan	AFG	34	3	0	0	0	0	0	0	0	0	0	0	50	0	50	50	50	50	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	40_60	0_20	40_60	40_60	40_60	40_60	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	2	1-10	AfricaWAsia
Altay	ALT	30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EAsiaPacific
Amur	AMU	31	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EAsiaPacific
Buryatiya	BRY	30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EAsiaPacific
China South-Central	CHC	36	3	0	4.347826087	5	0	3.846153846	16	9.523809524	11.9047619	0	8.695652174	5	0	11.53846154	24	19.04761905	21.42857143	0	4.347826087	5	0	3.846153846	16	4.761904762	9.523809524	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	0_20	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	34	3	44	11-50	EAsiaPacific
Hainan	CHH	36	3	11.11111111	13.33333333	7.692307692	0	13.33333333	35	27.27272727	26.92307692	11.11111111	13.33333333	7.692307692	0	13.33333333	40	27.27272727	30.76923077	11.11111111	13.33333333	7.692307692	0	13.33333333	30	27.27272727	23.07692308	0_20	0_20	0_20	0_20	0_20	20_40	20_40	20_40	0_20	0_20	0_20	0_20	0_20	40_60	20_40	20_40	0_20	0_20	0_20	0_20	0_20	20_40	20_40	20_40	17	0	27	11-50	EAsiaPacific
Inner Mongolia	CHI	36	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EAsiaPacific
Manchuria	CHM	36	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EAsiaPacific
China North-Central	CHN	36	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EAsiaPacific
Qinghai	CHQ	36	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EAsiaPacific
China Southeast	CHS	36	3	8.333333333	5.555555556	5.882352941	0	9.523809524	17.24137931	6.666666667	13.15789474	8.333333333	5.555555556	5.882352941	0	14.28571429	27.5862069	20	23.68421053	0	5.555555556	5.882352941	0	4.761904762	10.34482759	6.666666667	7.894736842	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	20_40	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	33	3	41	11-50	EAsiaPacific
Tibet	CHT	36	3	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	5	2	5	1-10	EAsiaPacific
