"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Astrocaryum ulei"	0.93739948520193	0.0400983835107214	0.00337550056194599	0.93739948520193	0.0400983835107214	0.00337550056194599	0.932810692258083	0.0422951890290063	0.00366253953697344	0.934140915093901	0.0400983835107214	0.00366253953697344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Astrocaryum urostachys"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Astrocaryum vulgare"	1	0	0	1	0	0	1	0	0	0.883380138191272	0.0697898025199808	0.00655020762575129	1	0	0	1	0	0	1	0	0	0.883380138191272	0.0697898025199808	0.00655020762575129
"Attalea allenii"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Attalea amygdalina"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea amylacea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea anisitsiana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea apoda"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea attaleoides"	0.931126974154689	0.0968412000184477	0.000901412685799983	0.931126974154689	0.0968412000184477	0.000901412685799983	0.931126974154689	0.0968412000184477	0.000901412685799983	0.903377676921519	0.0968412000184477	0.00334577618619359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea barreirensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea bassleriana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea brasiliensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea brejinhoensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea burretiana"	0.840417701322493	0.0597627033330581	0.0108694946348445	0.840417701322493	0.0597627033330581	0.0108694946348445	0.840417701322493	0.0597627033330581	0.0108694946348445	0.817912939976243	0.0969283439926104	0.0108694946348445	0.840417701322493	0.0597627033330581	0.0108694946348445	0.840417701322493	0.0597627033330581	0.0108694946348445	0.840417701322493	0.0597627033330581	0.0108694946348445	0.817912939976243	0.0969283439926104	0.0108694946348445
"Attalea butyracea"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Attalea camopiensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea cephalotus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea cohune"	1	0	0	1	0	0	1	0	0	0.551841157478512	0.050128323502954	0.0368033428793979	1	0	0	1	0	0	1	0	0	0.551841157478512	0.050128323502954	0.0368033428793979
"Attalea colenda"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Attalea compta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea crassispatha"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea cuatrecasasiana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea dahlgreniana"	0.808065925208593	0.0978685823850848	0.0116867410088419	0.808065925208593	0.0978685823850848	0.0116867410088419	0.808065925208593	0.0978685823850848	0.0116867410088419	0.808065925208593	0.0978685823850848	0.0116867410088419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
