"Tree_name"	"Acc_name"	"AverageED"	"AverageED_noBurnin"
"Calamus pulchellus"	"Calamus tetradactyloides"	2.94059284063717	2.9350452286792
"Calamus pycnocarpus"	"Calamus pycnocarpus"	5.06274985803842	5.07576063774712
"Calamus pygmaeus"	"Calamus pygmaeus"	4.30674503770831	4.22369737838729
"Calamus quangngaiensis"	"Calamus quangngaiensis"	4.42131381820563	4.41585459667451
"Calamus radiatus"	"Calamus radiatus"	3.13530464572398	3.07474364114396
"Calamus radicalis"	"Calamus radicalis"	3.34258825693281	3.35835610816532
"Calamus radulosus"	"Calamus radulosus"	3.00784761066258	2.99332020336995
"Calamus reinwardtii"	"Calamus reinwardtii"	6.34743538601893	6.44142863691504
"Calamus reticulatus"	"Calamus reticulatus"	4.10600539599823	4.10698131402244
"Calamus retroflexus"	"Calamus retroflexus"	4.84147593587978	4.87417046031897
"Calamus reyesianus"	"Calamus reyesianus"	2.83163463947023	2.86554797974392
"Calamus rhabdocladus"	"Calamus rhabdocladus"	4.00639040210953	3.98609914495068
"Calamus rheedei"	"Calamus rheedei"	8.02297264216106	8.06316392079371
"Calamus rhomboideus"	"Calamus rhomboideus"	3.97853872378727	4.00837018214691
"Calamus rhytidomus"	"Calamus rhytidomus"	3.19569253394201	3.14509426207621
"Calamus ridleyanus"	"Calamus ridleyanus"	5.63899133164076	5.68485353985153
"Calamus robinsonianus"	"Calamus robinsonianus"	4.68573086559727	4.71405744730142
"Calamus rosetus"	NA	3.43346279836468	3.40363979999941
"Calamus rotang"	"Calamus rotang"	4.43231356099624	4.43105695888502
"Calamus rudentum"	"Calamus rudentum"	4.4894918637537	4.53744898922544
"Calamus rugosus"	"Calamus rugosus"	3.08034629075526	3.10730123665916
"Calamus ruvidus"	"Calamus ruvidus"	3.14501125626513	3.11335301957918
"Calamus sabalensis"	"Calamus sabalensis"	3.13065404200006	3.15164890784352
"Calamus salicifolius"	"Calamus salicifolius"	7.42992453687187	7.45930929660607
"Calamus samian"	"Calamus samian"	2.86803041030985	2.89888788203638
"Calamus sarawakensis"	"Calamus sarawakensis"	3.75665000754213	3.82897370706419
"Calamus scabridulus"	"Calamus scabridulus"	3.05325888667952	3.04842813917566
"Calamus scabrispathus"	"Calamus scabrispathus"	4.27188746230871	4.27845753025936
"Calamus schistoacanthus"	"Calamus schistoacanthus"	5.0215035386007	4.99279610140749
"Calamus schlechterianus"	"Calamus schlechterianus"	4.85978446718766	4.8597644372484
"Calamus scipionum"	"Calamus scipionum"	5.20235119123943	5.25305061145227
"Calamus scleracanthus"	"Calamus scleracanthus"	3.41256691748773	3.44855263880562
"Calamus sedens"	"Calamus sedens"	4.25949539112589	4.25146338139346
"Calamus semoi"	"Calamus erioacanthus"	3.25888213013216	3.25733463259956
"Calamus senalingensis"	"Calamus senalingensis"	3.72535739578548	3.74261310474627
"Calamus seriatus"	"Calamus seriatus"	4.47246340737894	4.43882481977935
"Calamus setulosus"	"Calamus balingensis"	5.81533371202646	5.82076485892213
"Calamus siamensis"	"Calamus viminalis"	5.49412665963933	5.48634088797738
