"FD_G","species"
0.240324707817854,"Butia capitata"
0.212364680192298,"Butia catarinensis"
0.234275302504256,"Butia eriospatha"
0.240325805437293,"Butia exilata"
0.319337120879326,"Butia exospadix"
0.351613414054021,"Butia lallemantii"
0.316076502657484,"Butia lepidotispatha"
0.321208787067081,"Butia leptospatha"
0.3221679514055,"Butia marmorii"
0.335472638049505,"Butia matogrossensis"
0.323681639149545,"Butia microspadix"
0.221748200322881,"Butia noblickii"
0.212966378860837,"Butia odorata"
0.246893026326366,"Butia paraguayensis"
0.221748200322881,"Butia poni"
0.324585698181336,"Butia pubispatha"
0.236573362323704,"Butia purpurascens"
0.221748200322881,"Butia witeckii"
0.233738723946664,"Butia yatay"
0.32518839696338,"Calamus acamptostachys"
0.225170613062956,"Calamus acanthochlamys"
0.352617723147946,"Calamus acanthophyllus"
0.290284354753367,"Calamus acanthospathus"
0.331079663411045,"Calamus acaulis"
0.314674547699033,"Calamus acehensis"
0.321521549066417,"Calamus adspersus"
0.321521549066417,"Calamus affinis"
0.323823497422096,"Calamus aidae"
0.316027653255927,"Calamus albidus"
0.321569955142936,"Calamus albus"
0.324395003967551,"Calamus altiscandens"
0.296385051872736,"Calamus andamanicus"
0.328570716904063,"Calamus angustifolius"
0.321521549066417,"Calamus anomalus"
0.244652348596367,"Calamus arborescens"
0.309771030058913,"Calamus aruensis"
0.321521549066417,"Calamus arugda"
0.304171698244248,"Calamus ashtonii"
0.321521549066417,"Calamus asperrimus"
0.31598426394147,"Calamus asteracanthus"
0.284401335284333,"Calamus ater"
0.295119978600866,"Calamus australis"
0.330810476976237,"Calamus axillaris"
0.31564599863877,"Calamus bachmaensis"
0.254192540604729,"Calamus bacularis"
0.221748200322881,"Calamus badius"
0.221748200322881,"Calamus baiyerensis"
0.321521549066417,"Calamus balerensis"
0.289809102420093,"Calamus balingensis"
0.333782397127884,"Calamus banggiensis"
0.32266258935833,"Calamus bankae"
0.319141024181583,"Calamus baratangensis"
0.316521584768674,"Calamus barbatus"
0.221748200322881,"Calamus barfodii"
0.320699520495532,"Calamus batanensis"
0.326994460271581,"Calamus beccarii"
0.312273796211039,"Calamus beguinii"
0.33103945130757,"Calamus bicolor"
0.321521549066417,"Calamus billitonensis"
0.330946730820335,"Calamus bimanifer"
0.318410029458453,"Calamus binnendijkii"
0.323536277273605,"Calamus boniensis"
0.294494704351552,"Calamus bousigonii"
0.272688005475183,"Calamus brachypodus"
0.316813257953514,"Calamus brandisii"
0.329973120576679,"Calamus brevicaulis"
0.221748200322881,"Calamus bulubabi"
0.324308278281867,"Calamus burckianus"
0.316843815440216,"Calamus burkillianus"
0.344791144394956,"Calamus caesius"
0.321630976934339,"Calamus calapparius"
0.359000234209,"Calamus calicarpus"
0.262905720789946,"Calamus calospathus"
0.221748200322881,"Calamus capillosus"
0.316714385644357,"Calamus caryotoides"
0.357900430257376,"Calamus castaneus"
0.322429519340025,"Calamus cawa"
0.318286468421093,"Calamus centralis"
0.295022390374357,"Calamus ceratophorus"
0.221748200322881,"Calamus cheirophyllus"
0.297330557539467,"Calamus ciliaris"
0.321521549066417,"Calamus clemensianus"
0.331170796700655,"Calamus cockburnii"
0.31426345209267,"Calamus collarifer"
0.316467440103913,"Calamus compsostachys"
0.294639233452335,"Calamus comptus"
0.2461396601245,"Calamus concinnus"
0.316179915183131,"Calamus concolor"
0.321384863190179,"Calamus confusus"
0.29585682194346,"Calamus conirostris"
0.36128900890292,"Calamus conjugatus"
0.254664538958833,"Calamus conspectus"
0.317171473976095,"Calamus convallium"
0.31806464522859,"Calamus corneri"
0.316662957713819,"Calamus crassifolius"
0.324024746895945,"Calamus crinitus"
0.314205965167654,"Calamus cristatus"
0.221748200322881,"Calamus croftii"
0.320910844700058,"Calamus cumingianus"
0.317309004102566,"Calamus curranii"
0.321521549066417,"Calamus cuthbertsonii"
0.221748200322881,"Calamus daemonoropoides"
0.303659297446557,"Calamus dasyacanthus"
0.323123032572562,"Calamus deerratus"
0.31544105832825,"Calamus delicatulus"
0.322254832840527,"Calamus densiflorus"
0.321521549066417,"Calamus depauperatus"
0.322006168991819,"Calamus depressiusculus"
0.270700503891408,"Calamus dianbaiensis"
0.319888620415136,"Calamus didymocarpus"
0.295435385059308,"Calamus didymophyllus"
0.315709980085948,"Calamus diepenhorstii"
0.322478769356409,"Calamus digitatus"
0.323437150803697,"Calamus dilaceratus"
0.317959785531034,"Calamus dioicus"
0.321569955142936,"Calamus discolor"
0.302416024307747,"Calamus distentus"
0.315545644793226,"Calamus divaricatus"
0.27216020747687,"Calamus dongnaiensis"
0.323171291368768,"Calamus draco"
0.321521549066417,"Calamus dracunculus"
0.285048133382917,"Calamus dumetosus"
0.326116106134777,"Calamus egregius"
0.285229081333847,"Calamus elongatus"
0.321521549066417,"Calamus equestris"
0.249142818417334,"Calamus erectus"
0.314867375193736,"Calamus erinaceus"
0.315591885518774,"Calamus erioacanthus"
0.221748200322881,"Calamus erythrocarpus"
0.318385801453195,"Calamus essigii"
0.296521757462216,"Calamus eugenei"
0.317304058121574,"Calamus evansii"
0.294225302689757,"Calamus exilis"
0.296899584626848,"Calamus fertilis"
0.315821065707913,"Calamus filipendulus"
0.321643164066047,"Calamus filispadix"
0.315734166964545,"Calamus fissilis"
0.320981436034798,"Calamus fissus"
0.322161641253577,"Calamus flabellatus"
0.320873180708894,"Calamus flagellum"
0.32001976536548,"Calamus flexilis"
0.315972419215543,"Calamus floribundus"
0.315996288647963,"Calamus forbesii"
0.294770242932302,"Calamus formicarius"
0.31563254805138,"Calamus formosanus"
0.321521549066417,"Calamus foxworthyi"
0.327190903874538,"Calamus gamblei"
0.298110405598752,"Calamus geniculatus"
0.316200206596281,"Calamus georgei"
0.316119980128301,"Calamus gibbsianus"
0.316620640549792,"Calamus glaucescens"
0.320131757244656,"Calamus godefroyi"
0.315807094749547,"Calamus gonospermus"
0.3110272038629,"Calamus gracilipes"
0.328188090763576,"Calamus gracilis"
0.321521549066417,"Calamus grandifolius"
0.321080374643047,"Calamus grandis"
0.318889530609787,"Calamus griseus"
0.317077275280032,"Calamus guruba"
0.31583421023186,"Calamus hallierianus"
0.321521549066417,"Calamus halmaherensis"
0.325264087305736,"Calamus harmandii"
0.221748200322881,"Calamus heatubunii"
0.286302420397286,"Calamus helferianus"
0.316302413083026,"Calamus henryanus"
0.304640290396112,"Calamus heteracanthus"
0.320132360699952,"Calamus heteroideus"
0.31689763916757,"Calamus hirsutus"
0.291427003087582,"Calamus holttumii"
0.314969812181291,"Calamus hookerianus"
0.321521549066417,"Calamus horridus"
0.335573063476532,"Calamus hukaungensis"
0.3225952443219,"Calamus inermis"
0.342335620808823,"Calamus ingens"
0.321521549066417,"Calamus inops"
0.302283953721145,"Calamus insignis"
0.321521549066417,"Calamus interruptus"
0.221748200322881,"Calamus jacobsii"
0.316202026403048,"Calamus javensis"
0.319076145274131,"Calamus jenkinsianus"
0.319667074900492,"Calamus jenningsianus"
0.315094741957686,"Calamus johndransfieldii"
0.221748200322881,"Calamus johnsii"
0.221748200322881,"Calamus kampucheaensis"
0.321521549066417,"Calamus kandariensis"
0.322127301143848,"Calamus karnatakensis"
