"Region"	"Scenario"	"Use"	"Category"	"PercentageA"	"NumberA"	"NumberUT"
"4092"	"MXE"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4093"	"MXE"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4094"	"MXE"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4095"	"MXE"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4096"	"MXE"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4097"	"MXE"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4098"	"MXG"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4099"	"MXG"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4100"	"MXG"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4101"	"MXG"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4102"	"MXG"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4103"	"MXG"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4104"	"MXG"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4105"	"MXG"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4106"	"MXG"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"4107"	"MXG"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"4108"	"MXG"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"4109"	"MXG"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"4110"	"MXG"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"4111"	"MXG"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"4112"	"MXG"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"4113"	"MXG"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"4114"	"MXG"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4115"	"MXG"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4116"	"MXG"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4117"	"MXG"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4118"	"MXG"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4119"	"MXG"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4120"	"MXG"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4121"	"MXG"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4122"	"MXG"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4123"	"MXG"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4124"	"MXG"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4125"	"MXG"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4126"	"MXG"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4127"	"MXG"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4128"	"MXG"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4129"	"MXG"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4130"	"MXI"	"BS"	"HUF"	"C1"	"0"	"0"	"1"
"4131"	"MXI"	"WS"	"HUF"	"C1"	"0"	"0"	"1"
"4132"	"MXI"	"BS"	"HUF"	"C2"	"0"	"0"	"1"
"4133"	"MXI"	"WS"	"HUF"	"C2"	"0"	"0"	"1"
"4134"	"MXI"	"BS"	"HUF"	"C3"	"0"	"0"	"1"
"4135"	"MXI"	"WS"	"HUF"	"C3"	"0"	"0"	"1"
"4136"	"MXI"	"BS"	"HUF"	"C4"	"0"	"0"	"1"
"4137"	"MXI"	"WS"	"HUF"	"C4"	"0"	"0"	"1"
"4138"	"MXI"	"BS"	"HUMa"	"C1"	"0"	"0"	"1"
"4139"	"MXI"	"WS"	"HUMa"	"C1"	"0"	"0"	"1"
"4140"	"MXI"	"BS"	"HUMa"	"C2"	"0"	"0"	"1"
"4141"	"MXI"	"WS"	"HUMa"	"C2"	"0"	"0"	"1"
"4142"	"MXI"	"BS"	"HUMa"	"C3"	"0"	"0"	"1"
"4143"	"MXI"	"WS"	"HUMa"	"C3"	"0"	"0"	"1"
"4144"	"MXI"	"BS"	"HUMa"	"C4"	"0"	"0"	"1"
"4145"	"MXI"	"WS"	"HUMa"	"C4"	"0"	"0"	"1"
"4146"	"MXI"	"BS"	"HUMe"	"C1"	"0"	"0"	"1"
"4147"	"MXI"	"WS"	"HUMe"	"C1"	"0"	"0"	"1"
"4148"	"MXI"	"BS"	"HUMe"	"C2"	"0"	"0"	"1"
"4149"	"MXI"	"WS"	"HUMe"	"C2"	"0"	"0"	"1"
"4150"	"MXI"	"BS"	"HUMe"	"C3"	"0"	"0"	"1"
"4151"	"MXI"	"WS"	"HUMe"	"C3"	"0"	"0"	"1"
"4152"	"MXI"	"BS"	"HUMe"	"C4"	"0"	"0"	"1"
"4153"	"MXI"	"WS"	"HUMe"	"C4"	"0"	"0"	"1"
"4154"	"MXI"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4155"	"MXI"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4156"	"MXI"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4157"	"MXI"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4158"	"MXI"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4159"	"MXI"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4160"	"MXI"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4161"	"MXI"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4162"	"MXN"	"BS"	"HUF"	"C1"	"100"	"1"	"1"
"4163"	"MXN"	"WS"	"HUF"	"C1"	"100"	"2"	"2"
"4164"	"MXN"	"BS"	"HUF"	"C2"	"100"	"1"	"1"
"4165"	"MXN"	"WS"	"HUF"	"C2"	"0"	"0"	"2"
"4166"	"MXN"	"BS"	"HUF"	"C3"	"100"	"1"	"1"
"4167"	"MXN"	"WS"	"HUF"	"C3"	"0"	"0"	"2"
"4168"	"MXN"	"BS"	"HUF"	"C4"	"100"	"1"	"1"
"4169"	"MXN"	"WS"	"HUF"	"C4"	"0"	"0"	"2"
"4170"	"MXN"	"BS"	"HUMa"	"C1"	"100"	"1"	"1"
"4171"	"MXN"	"WS"	"HUMa"	"C1"	"100"	"2"	"2"
"4172"	"MXN"	"BS"	"HUMa"	"C2"	"100"	"1"	"1"
"4173"	"MXN"	"WS"	"HUMa"	"C2"	"0"	"0"	"2"
"4174"	"MXN"	"BS"	"HUMa"	"C3"	"100"	"1"	"1"
"4175"	"MXN"	"WS"	"HUMa"	"C3"	"0"	"0"	"2"
"4176"	"MXN"	"BS"	"HUMa"	"C4"	"100"	"1"	"1"
"4177"	"MXN"	"WS"	"HUMa"	"C4"	"0"	"0"	"2"
"4178"	"MXN"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4179"	"MXN"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4180"	"MXN"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4181"	"MXN"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4182"	"MXN"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4183"	"MXN"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4184"	"MXN"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4185"	"MXN"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4186"	"MXN"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4187"	"MXN"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4188"	"MXN"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4189"	"MXN"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4190"	"MXN"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4191"	"MXN"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4192"	"MXN"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4193"	"MXN"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4194"	"MXS"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4195"	"MXS"	"WS"	"HUF"	"C1"	"100"	"1"	"1"
"4196"	"MXS"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4197"	"MXS"	"WS"	"HUF"	"C2"	"0"	"0"	"1"
"4198"	"MXS"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4199"	"MXS"	"WS"	"HUF"	"C3"	"0"	"0"	"1"
"4200"	"MXS"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4201"	"MXS"	"WS"	"HUF"	"C4"	"0"	"0"	"1"
"4202"	"MXS"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"4203"	"MXS"	"WS"	"HUMa"	"C1"	"100"	"1"	"1"
"4204"	"MXS"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"4205"	"MXS"	"WS"	"HUMa"	"C2"	"0"	"0"	"1"
"4206"	"MXS"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"4207"	"MXS"	"WS"	"HUMa"	"C3"	"0"	"0"	"1"
"4208"	"MXS"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"4209"	"MXS"	"WS"	"HUMa"	"C4"	"0"	"0"	"1"
"4210"	"MXS"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4211"	"MXS"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4212"	"MXS"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4213"	"MXS"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4214"	"MXS"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4215"	"MXS"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4216"	"MXS"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4217"	"MXS"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4218"	"MXS"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4219"	"MXS"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4220"	"MXS"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4221"	"MXS"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4222"	"MXS"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4223"	"MXS"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4224"	"MXS"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4225"	"MXS"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4226"	"MXT"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4227"	"MXT"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4228"	"MXT"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4229"	"MXT"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4230"	"MXT"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4231"	"MXT"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4232"	"MXT"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4233"	"MXT"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4234"	"MXT"	"BS"	"HUMa"	"C1"	"100"	"1"	"1"
"4235"	"MXT"	"WS"	"HUMa"	"C1"	"100"	"2"	"2"
"4236"	"MXT"	"BS"	"HUMa"	"C2"	"100"	"1"	"1"
"4237"	"MXT"	"WS"	"HUMa"	"C2"	"100"	"2"	"2"
"4238"	"MXT"	"BS"	"HUMa"	"C3"	"100"	"1"	"1"
"4239"	"MXT"	"WS"	"HUMa"	"C3"	"100"	"2"	"2"
"4240"	"MXT"	"BS"	"HUMa"	"C4"	"0"	"0"	"1"
"4241"	"MXT"	"WS"	"HUMa"	"C4"	"0"	"0"	"2"
"4242"	"MXT"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4243"	"MXT"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4244"	"MXT"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4245"	"MXT"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4246"	"MXT"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4247"	"MXT"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4248"	"MXT"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4249"	"MXT"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4250"	"MXT"	"BS"	"HUC"	"C1"	"100"	"1"	"1"
"4251"	"MXT"	"WS"	"HUC"	"C1"	"100"	"1"	"1"
"4252"	"MXT"	"BS"	"HUC"	"C2"	"100"	"1"	"1"
"4253"	"MXT"	"WS"	"HUC"	"C2"	"100"	"1"	"1"
"4254"	"MXT"	"BS"	"HUC"	"C3"	"100"	"1"	"1"
"4255"	"MXT"	"WS"	"HUC"	"C3"	"100"	"1"	"1"
"4256"	"MXT"	"BS"	"HUC"	"C4"	"0"	"0"	"1"
"4257"	"MXT"	"WS"	"HUC"	"C4"	"0"	"0"	"1"
"4258"	"MYA"	"BS"	"HUF"	"C1"	"100"	"1"	"1"
"4259"	"MYA"	"WS"	"HUF"	"C1"	"100"	"1"	"1"
"4260"	"MYA"	"BS"	"HUF"	"C2"	"100"	"1"	"1"
"4261"	"MYA"	"WS"	"HUF"	"C2"	"100"	"1"	"1"
"4262"	"MYA"	"BS"	"HUF"	"C3"	"100"	"1"	"1"
"4263"	"MYA"	"WS"	"HUF"	"C3"	"100"	"1"	"1"
"4264"	"MYA"	"BS"	"HUF"	"C4"	"0"	"0"	"1"
"4265"	"MYA"	"WS"	"HUF"	"C4"	"0"	"0"	"1"
"4266"	"MYA"	"BS"	"HUMa"	"C1"	"100"	"2"	"2"
"4267"	"MYA"	"WS"	"HUMa"	"C1"	"100"	"6"	"6"
"4268"	"MYA"	"BS"	"HUMa"	"C2"	"100"	"2"	"2"
"4269"	"MYA"	"WS"	"HUMa"	"C2"	"83.3333333333333"	"5"	"6"
"4270"	"MYA"	"BS"	"HUMa"	"C3"	"100"	"2"	"2"
"4271"	"MYA"	"WS"	"HUMa"	"C3"	"66.6666666666667"	"4"	"6"
"4272"	"MYA"	"BS"	"HUMa"	"C4"	"50"	"1"	"2"
"4273"	"MYA"	"WS"	"HUMa"	"C4"	"50"	"3"	"6"
"4274"	"MYA"	"BS"	"HUMe"	"C1"	"100"	"2"	"2"
"4275"	"MYA"	"WS"	"HUMe"	"C1"	"100"	"3"	"3"
"4276"	"MYA"	"BS"	"HUMe"	"C2"	"100"	"2"	"2"
"4277"	"MYA"	"WS"	"HUMe"	"C2"	"100"	"3"	"3"
"4278"	"MYA"	"BS"	"HUMe"	"C3"	"100"	"2"	"2"
"4279"	"MYA"	"WS"	"HUMe"	"C3"	"66.6666666666667"	"2"	"3"
"4280"	"MYA"	"BS"	"HUMe"	"C4"	"50"	"1"	"2"
"4281"	"MYA"	"WS"	"HUMe"	"C4"	"33.3333333333333"	"1"	"3"
"4282"	"MYA"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4283"	"MYA"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4284"	"MYA"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4285"	"MYA"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4286"	"MYA"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4287"	"MYA"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4288"	"MYA"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4289"	"MYA"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4290"	"NAM"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4291"	"NAM"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4292"	"NAM"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4293"	"NAM"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4294"	"NAM"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4295"	"NAM"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4296"	"NAM"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4297"	"NAM"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4298"	"NAM"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"4299"	"NAM"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"4300"	"NAM"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"4301"	"NAM"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"4302"	"NAM"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"4303"	"NAM"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"4304"	"NAM"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"4305"	"NAM"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"4306"	"NAM"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4307"	"NAM"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4308"	"NAM"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4309"	"NAM"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4310"	"NAM"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4311"	"NAM"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4312"	"NAM"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4313"	"NAM"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4314"	"NAM"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4315"	"NAM"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4316"	"NAM"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4317"	"NAM"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4318"	"NAM"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4319"	"NAM"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4320"	"NAM"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4321"	"NAM"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4322"	"NAT"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4323"	"NAT"	"WS"	"HUF"	"C1"	"100"	"1"	"1"
"4324"	"NAT"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4325"	"NAT"	"WS"	"HUF"	"C2"	"0"	"0"	"1"
"4326"	"NAT"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4327"	"NAT"	"WS"	"HUF"	"C3"	"0"	"0"	"1"
"4328"	"NAT"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4329"	"NAT"	"WS"	"HUF"	"C4"	"0"	"0"	"1"
"4330"	"NAT"	"BS"	"HUMa"	"C1"	"100"	"1"	"1"
"4331"	"NAT"	"WS"	"HUMa"	"C1"	"100"	"1"	"1"
"4332"	"NAT"	"BS"	"HUMa"	"C2"	"0"	"0"	"1"
"4333"	"NAT"	"WS"	"HUMa"	"C2"	"0"	"0"	"1"
"4334"	"NAT"	"BS"	"HUMa"	"C3"	"0"	"0"	"1"
"4335"	"NAT"	"WS"	"HUMa"	"C3"	"0"	"0"	"1"
"4336"	"NAT"	"BS"	"HUMa"	"C4"	"0"	"0"	"1"
"4337"	"NAT"	"WS"	"HUMa"	"C4"	"0"	"0"	"1"
"4338"	"NAT"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4339"	"NAT"	"WS"	"HUMe"	"C1"	"100"	"1"	"1"
"4340"	"NAT"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4341"	"NAT"	"WS"	"HUMe"	"C2"	"0"	"0"	"1"
"4342"	"NAT"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4343"	"NAT"	"WS"	"HUMe"	"C3"	"0"	"0"	"1"
"4344"	"NAT"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4345"	"NAT"	"WS"	"HUMe"	"C4"	"0"	"0"	"1"
"4346"	"NAT"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4347"	"NAT"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4348"	"NAT"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4349"	"NAT"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4350"	"NAT"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4351"	"NAT"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4352"	"NAT"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4353"	"NAT"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4354"	"NCA"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4355"	"NCA"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4356"	"NCA"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4357"	"NCA"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4358"	"NCA"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4359"	"NCA"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4360"	"NCA"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4361"	"NCA"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4362"	"NCA"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"4363"	"NCA"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"4364"	"NCA"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"4365"	"NCA"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"4366"	"NCA"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"4367"	"NCA"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"4368"	"NCA"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"4369"	"NCA"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"4370"	"NCA"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4371"	"NCA"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"4372"	"NCA"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4373"	"NCA"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"4374"	"NCA"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4375"	"NCA"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"4376"	"NCA"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4377"	"NCA"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"4378"	"NCA"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4379"	"NCA"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4380"	"NCA"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4381"	"NCA"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4382"	"NCA"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4383"	"NCA"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4384"	"NCA"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4385"	"NCA"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4386"	"NCB"	"BS"	"HUF"	"C1"	"100"	"1"	"1"
"4387"	"NCB"	"WS"	"HUF"	"C1"	"100"	"1"	"1"
"4388"	"NCB"	"BS"	"HUF"	"C2"	"0"	"0"	"1"
"4389"	"NCB"	"WS"	"HUF"	"C2"	"0"	"0"	"1"
"4390"	"NCB"	"BS"	"HUF"	"C3"	"0"	"0"	"1"
"4391"	"NCB"	"WS"	"HUF"	"C3"	"0"	"0"	"1"
"4392"	"NCB"	"BS"	"HUF"	"C4"	"0"	"0"	"1"
"4393"	"NCB"	"WS"	"HUF"	"C4"	"0"	"0"	"1"
"4394"	"NCB"	"BS"	"HUMa"	"C1"	"100"	"1"	"1"
"4395"	"NCB"	"WS"	"HUMa"	"C1"	"100"	"1"	"1"
"4396"	"NCB"	"BS"	"HUMa"	"C2"	"0"	"0"	"1"
"4397"	"NCB"	"WS"	"HUMa"	"C2"	"0"	"0"	"1"
"4398"	"NCB"	"BS"	"HUMa"	"C3"	"0"	"0"	"1"
"4399"	"NCB"	"WS"	"HUMa"	"C3"	"0"	"0"	"1"
"4400"	"NCB"	"BS"	"HUMa"	"C4"	"0"	"0"	"1"
"4401"	"NCB"	"WS"	"HUMa"	"C4"	"0"	"0"	"1"
"4402"	"NCB"	"BS"	"HUMe"	"C1"	"100"	"1"	"1"
"4403"	"NCB"	"WS"	"HUMe"	"C1"	"100"	"1"	"1"
"4404"	"NCB"	"BS"	"HUMe"	"C2"	"0"	"0"	"1"
"4405"	"NCB"	"WS"	"HUMe"	"C2"	"0"	"0"	"1"
"4406"	"NCB"	"BS"	"HUMe"	"C3"	"0"	"0"	"1"
"4407"	"NCB"	"WS"	"HUMe"	"C3"	"0"	"0"	"1"
"4408"	"NCB"	"BS"	"HUMe"	"C4"	"0"	"0"	"1"
"4409"	"NCB"	"WS"	"HUMe"	"C4"	"0"	"0"	"1"
"4410"	"NCB"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4411"	"NCB"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"4412"	"NCB"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4413"	"NCB"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"4414"	"NCB"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4415"	"NCB"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"4416"	"NCB"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4417"	"NCB"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"4418"	"NEP"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4419"	"NEP"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"4420"	"NEP"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4421"	"NEP"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"4422"	"NEP"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4423"	"NEP"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"4424"	"NEP"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4425"	"NEP"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"4426"	"NEP"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"4427"	"NEP"	"WS"	"HUMa"	"C1"	"100"	"1"	"1"
"4428"	"NEP"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"4429"	"NEP"	"WS"	"HUMa"	"C2"	"0"	"0"	"1"
"4430"	"NEP"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"4431"	"NEP"	"WS"	"HUMa"	"C3"	"0"	"0"	"1"
"4432"	"NEP"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"4433"	"NEP"	"WS"	"HUMa"	"C4"	"0"	"0"	"1"
