"Region"	"Scenario"	"Use"	"Category"	"PercentageA"	"NumberA"	"NumberUT"
"211"	"ANG"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"212"	"ANG"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"213"	"ANG"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"214"	"ANG"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"215"	"ANG"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"216"	"ANG"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"217"	"ANG"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"218"	"ANG"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"219"	"ANG"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"220"	"ANG"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"221"	"ANG"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"222"	"ANG"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"223"	"ANG"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"224"	"ANG"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"225"	"ANG"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"226"	"ARI"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"227"	"ARI"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"228"	"ARI"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"229"	"ARI"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"230"	"ARI"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"231"	"ARI"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"232"	"ARI"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"233"	"ARI"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"234"	"ARI"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"235"	"ARI"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"236"	"ARI"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"237"	"ARI"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"238"	"ARI"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"239"	"ARI"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"240"	"ARI"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"241"	"ARI"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"242"	"ARI"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"243"	"ARI"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"244"	"ARI"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"245"	"ARI"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"246"	"ARI"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"247"	"ARI"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
