"LEVEL3_NAM"	"LEVEL3_COD"	"LEVEL2_COD"	"LEVEL1_COD"	"LEVEL3_SPE_HUF_B"	"LEVEL3_SPE_HUMa_B"	"LEVEL3_SPE_HUMe_B"	"LEVEL3_SPE_HUC_B"	"LEVEL3_SPE_HUA_B"	"LEVEL3_SPE_FD2_B"	"LEVEL3_SPE_ED2_B"	"LEVEL3_SPE_COM_B"	"LEVEL3_SPE_HUF_W"	"LEVEL3_SPE_HUMa_W"	"LEVEL3_SPE_HUMe_W"	"LEVEL3_SPE_HUC_W"	"LEVEL3_SPE_HUA_W"	"LEVEL3_SPE_FD2_W"	"LEVEL3_SPE_ED2_W"	"LEVEL3_SPE_COM_W"	"LEVEL3_SPE_HUF_R"	"LEVEL3_SPE_HUMa_R"	"LEVEL3_SPE_HUMe_R"	"LEVEL3_SPE_HUC_R"	"LEVEL3_SPE_HUA_R"	"LEVEL3_SPE_FD2_R"	"LEVEL3_SPE_ED2_R"	"LEVEL3_SPE_COM_R"	"LEVEL3_SPE_HUF_B2"	"LEVEL3_SPE_HUMa_B2"	"LEVEL3_SPE_HUMe_B2"	"LEVEL3_SPE_HUC_B2"	"LEVEL3_SPE_HUA_B2"	"LEVEL3_SPE_FD2_B2"	"LEVEL3_SPE_ED2_B2"	"LEVEL3_SPE_COM_B2"	"LEVEL3_SPE_HUF_W2"	"LEVEL3_SPE_HUMa_W2"	"LEVEL3_SPE_HUMe_W2"	"LEVEL3_SPE_HUC_W2"	"LEVEL3_SPE_HUA_W2"	"LEVEL3_SPE_FD2_W2"	"LEVEL3_SPE_ED2_W2"	"LEVEL3_SPE_COM_W2"	"LEVEL3_SPE_HUF_R2"	"LEVEL3_SPE_HUMa_R2"	"LEVEL3_SPE_HUMe_R2"	"LEVEL3_SPE_HUC_R2"	"LEVEL3_SPE_HUA_R2"	"LEVEL3_SPE_FD2_R2"	"LEVEL3_SPE_ED2_R2"	"LEVEL3_SPE_COM_R2"	"LEVEL3_SPE_GAP_RL"	"LEVEL3_SPE_GAP_RLML"	"LEVEL3_SPE_speNum"	"LEVEL3_SPE_speNumCat"
"Myanmar"	"MYA"	41	4	4.54545454545455	4.8780487804878	5.88235294117647	0	4.44444444444444	14	3.125	11.4285714285714	4.54545454545455	14.6341463414634	8.82352941176471	0	13.3333333333333	34	15.625	30	4.54545454545455	4.8780487804878	5.88235294117647	0	4.44444444444444	2	3.125	2.85714285714286	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	69	13	78	"51-100"
"Namibia"	"NAM"	27	2	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	0	0	2	"1-10"
"KwaZulu-Natal"	"NAT"	27	2	0	25	0	0	20	100	25	20	33.3333333333333	25	25	0	40	100	50	40	0	25	0	0	20	100	25	20	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"80_100"	"20_40"	"20_40"	"20_40"	"20_40"	"20_40"	"0_20"	"40_60"	"80_100"	"40_60"	"40_60"	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"80_100"	"20_40"	"20_40"	2	0	5	"1-10"
"New Brunswick"	"NBR"	72	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"North Carolina"	"NCA"	78	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	3	0	3	"1-10"
"Nicobar Is."	"NCB"	41	4	11.1111111111111	7.69230769230769	8.33333333333333	0	6.66666666666667	0	12.5	5.26315789473684	11.1111111111111	7.69230769230769	8.33333333333333	0	6.66666666666667	0	12.5	5.26315789473684	11.1111111111111	7.69230769230769	8.33333333333333	0	6.66666666666667	0	12.5	5.26315789473684	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	14	7	20	"11-50"
"North Caucasus"	"NCS"	33	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"North Dakota"	"NDA"	74	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nebraska"	"NEB"	74	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nepal"	"NEP"	40	4	0	0	0	0	0	0	0	0	0	14.2857142857143	0	0	10	12.5	12.5	16.6666666666667	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	10	2	12	"11-50"
"Netherlands"	"NET"	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nevada"	"NEV"	76	7	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	1	"1-10"
"Norfolk Is."	"NFK"	50	5	NA	0	0	NA	0	0	0	0	NA	0	0	NA	0	0	20	16.6666666666667	NA	0	0	NA	0	0	0	0	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"20_40"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	5	4	6	"1-10"
"Newfoundland"	"NFL"	72	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nigeria"	"NGA"	22	2	0	7.69230769230769	0	9.09090909090909	7.40740740740741	3.7037037037037	6.25	6.25	0	11.5384615384615	5.26315789473684	9.09090909090909	11.1111111111111	7.40740740740741	9.375	9.375	0	3.84615384615385	0	0	3.7037037037037	3.7037037037037	3.125	3.125	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	12	2	32	"11-50"
"Niger"	"NGR"	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	6	"1-10"
"Nicaragua"	"NIC"	80	8	0	3.7037037037037	0	5.26315789473684	5.88235294117647	6.25	3.2258064516129	5.66037735849057	0	3.7037037037037	0	5.26315789473684	5.88235294117647	12.5	6.45161290322581	9.43396226415094	0	3.7037037037037	0	5.26315789473684	5.88235294117647	0	0	3.77358490566038	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	59	5	66	"51-100"
"Netherlands Antilles"	"NLA"	81	8	0	0	0	0	0	NA	0	0	0	50	0	0	50	NA	33.3333333333333	33.3333333333333	0	0	0	0	0	NA	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"0_20"	"40_60"	"NOC"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	1	0	3	"1-10"
"Nansei-shoto"	"NNS"	38	3	0	25	0	0	25	33.3333333333333	50	40	0	25	0	0	25	33.3333333333333	50	40	0	0	0	0	0	0	0	0	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"40_60"	"40_60"	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"40_60"	"40_60"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	4	0	5	"1-10"
"Norway"	"NOR"	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nauru"	"NRU"	60	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	1	"1-10"
"Nova Scotia"	"NSC"	72	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"New South Wales"	"NSW"	50	5	0	0	0	NA	20	0	0	16.6666666666667	0	0	0	NA	20	0	0	16.6666666666667	0	0	0	NA	0	0	0	0	"0_20"	"0_20"	"0_20"	"NOC"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	6	0	7	"1-10"
"Northern Territory"	"NTA"	50	5	0	0	0	0	0	0	0	0	14.2857142857143	12.5	0	0	11.1111111111111	0	20	20	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	12	0	15	"11-50"
"Niue"	"NUE"	60	6	0	0	0	0	50	0	50	50	0	0	0	0	50	0	50	50	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"40_60"	"40_60"	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"40_60"	"40_60"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	2	0	2	"1-10"
"Nunavut"	"NUN"	70	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"New Caledonia"	"NWC"	60	6	0	20	0	0	20	33.3333333333333	40	46.1538461538462	0	20	0	0	20	33.3333333333333	40	46.1538461538462	0	20	0	0	20	33.3333333333333	40	46.1538461538462	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"40_60"	"40_60"	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"40_60"	"40_60"	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"40_60"	"40_60"	4	0	43	"11-50"
"New Guinea"	"NWG"	43	4	7.14285714285714	23.8636363636364	0	16.2162162162162	23.9583333333333	42.3728813559322	44.4444444444444	42.1768707482993	33.3333333333333	54.5454545454545	6.25	37.8378378378378	54.1666666666667	62.7118644067797	68.5185185185185	64.6258503401361	0	3.40909090909091	0	5.40540540540541	4.16666666666667	0	3.7037037037037	3.40136054421769	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"40_60"	"40_60"	"40_60"	"20_40"	"40_60"	"0_20"	"20_40"	"40_60"	"60_80"	"60_80"	"60_80"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	265	50	280	">100"
"New Hampshire"	"NWH"	75	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"New Jersey"	"NWJ"	75	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"New Mexico"	"NWM"	77	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Northwest Territories"	"NWT"	70	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"New York"	"NWY"	75	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"New Zealand North"	"NZN"	51	5	NA	0	0	NA	25	0	0	25	NA	0	0	NA	25	0	0	25	NA	0	0	NA	0	0	0	0	"NOC"	"0_20"	"0_20"	"NOC"	"20_40"	"0_20"	"0_20"	"20_40"	"NOC"	"0_20"	"0_20"	"NOC"	"20_40"	"0_20"	"0_20"	"20_40"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	3	0	4	"1-10"
"New Zealand South"	"NZS"	51	5	NA	0	0	NA	0	NA	0	0	NA	0	0	NA	0	NA	0	0	NA	0	0	NA	0	NA	0	0	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"NOC"	"0_20"	"0_20"	1	0	1	"1-10"
"Free State"	"OFS"	27	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ogasawara-shoto"	"OGA"	38	3	0	0	0	0	0	50	0	25	0	0	0	0	0	50	0	25	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	4	2	5	"1-10"
"Ohio"	"OHI"	75	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Oklahoma"	"OKL"	74	7	NA	NA	0	NA	0	0	0	0	NA	NA	0	NA	0	0	0	0	NA	NA	0	NA	0	0	0	0	"NOC"	"NOC"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"NOC"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"NOC"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	1	"1-10"
"Oman"	"OMA"	35	3	0	0	0	0	0	0	0	0	0	0	50	0	33.3333333333333	33.3333333333333	33.3333333333333	33.3333333333333	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"20_40"	"20_40"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	3	0	3	"1-10"
"Ontario"	"ONT"	72	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Oregon"	"ORE"	73	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pakistan"	"PAK"	40	4	0	0	0	0	0	0	0	0	0	0	25	0	25	25	25	25	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"20_40"	"20_40"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	4	1	4	"1-10"
"Palestine"	"PAL"	34	3	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	0	0	1	"1-10"
"Panama"	"PAN"	80	8	0	2.32558139534884	0	3.2258064516129	2.04081632653061	17.8571428571429	7.31707317073171	10.7142857142857	4.65116279069767	6.97674418604651	2.85714285714286	6.45161290322581	8.16326530612245	46.4285714285714	21.9512195121951	28.5714285714286	0	2.32558139534884	0	3.2258064516129	2.04081632653061	0	0	1.19047619047619	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	131	7	137	">100"
"Paraguay"	"PAR"	85	8	0	0	0	NA	0	15.3846153846154	0	8.69565217391304	0	0	0	NA	0	53.8461538461538	30	39.1304347826087	0	0	0	NA	0	0	0	0	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"40_60"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	24	2	25	"11-50"
"Prince Edward I."	"PEI"	72	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pennsylvania"	"PEN"	75	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Peru"	"PER"	83	8	4.25531914893617	4.04040404040404	1.61290322580645	3.48837209302326	5.5045871559633	17.5	9.30232558139535	11.2903225806452	11.7021276595745	13.1313131313131	4.83870967741935	10.4651162790698	14.6788990825688	27.5	18.6046511627907	21.7741935483871	1.06382978723404	2.02020202020202	0	2.32558139534884	1.8348623853211	2.5	2.32558139534884	2.41935483870968	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	133	6	141	">100"
"Philippines"	"PHI"	42	4	37.2093023255814	23.2876712328767	4.76190476190476	39.3939393939394	37.5	33.3333333333333	22.8571428571429	38.7931034482759	51.1627906976744	31.5068493150685	14.2857142857143	57.5757575757576	49.0384615384615	40.5797101449275	37.1428571428571	50	11.6279069767442	8.21917808219178	0	9.09090909090909	10.5769230769231	14.4927536231884	8.57142857142857	12.9310344827586	"20_40"	"20_40"	"0_20"	"20_40"	"20_40"	"20_40"	"20_40"	"20_40"	"40_60"	"20_40"	"0_20"	"40_60"	"40_60"	"40_60"	"20_40"	"40_60"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	103	34	130	">100"
"Phoenix Is."	"PHX"	60	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	1	"1-10"
"Pitcairn Is."	"PIT"	61	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Poland"	"POL"	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Portugal"	"POR"	12	1	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	0	0	1	"1-10"
"Primorye"	"PRM"	31	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Puerto Rico"	"PUE"	81	8	0	7.14285714285714	0	0	12.5	0	17.6470588235294	20	0	14.2857142857143	0	11.1111111111111	18.75	0	23.5294117647059	25	0	7.14285714285714	0	0	12.5	0	17.6470588235294	20	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	9	2	23	"11-50"
"Queensland"	"QLD"	50	5	0	6.66666666666667	0	0	10.5263157894737	26.6666666666667	9.09090909090909	18.75	8.33333333333333	6.66666666666667	0	0	15.7894736842105	46.6666666666667	36.3636363636364	37.5	0	0	0	0	0	6.66666666666667	0	3.125	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	42	2	46	"11-50"
"Québec"	"QUE"	72	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
