"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"HFI"	"HPD"	"FLO"	"Tseas"	"Pseas"	"Tflex"	"Pflex"	"ECO"	"TDWG3"
"Licuala paludosa"	20	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	17	17	80	1662148.36165348	30.9154929637909	239.732938480377	0.178062892239541	48.6610119819641	38.5945145606995	0.842851028796391	0.349158732229033	9	7
"Basselinia iterata"	4	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	1	1	16	1.69691768651485	24.9403247833252	6.74563312530518	0.00373886246234179	221.085311889648	47.8120040893555	0.772423625700823	0.242603550295858	1	1
"Brahea aculeata"	41	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	16	21	124	51935.0566997707	20.7048780394763	16.5250571064833	0.00929954940653349	439.948854027725	108.157214281036	0.559173589951538	0.0215282706411166	4	2
"Licuala triphylla"	13	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	12	12	52	620032.516497901	29.1943196516771	111.341396918664	0.232939498355755	64.1671585669884	51.8238565004789	0.825416936031623	0.187076602397082	4	4
"Areca camarinensis"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	1	1	4	NA	36.1026840209961	146.368011474609	0.0211693700402975	113.820175170898	48.383918762207	0.818415987204187	0.24390243902439	1	1
"Chamaedorea nubium"	68	"LC"	"LC"	"LC"	"LC"	"TEST"	27	36	232	185213.0947755	31.6972933657029	55.5446700068081	0.0349266286186107	122.116600261015	93.6824757071102	0.712778126049647	0.0340723356104104	9	5
"Calamus tetradactyloides"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	1	1	4	NA	29.4749488830566	98.1200942993164	0.212288603186607	357.113372802734	75.2665710449219	0.716852488938801	0.0644067796610169	1	1
"Geonoma undata"	634	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	252	335	1908	7945060.64900669	25.0026958451936	83.7765177718073	0.0229996742101071	58.5620496009803	48.6492265241003	0.766944158392383	0.220316444284169	39	17
"Allagoptera arenaria"	78	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	59	66	300	1881402.835403	39.0933852318006	419.515394877165	0.0937234793867295	171.961724892641	42.7913177441328	0.770578560635825	0.296252774513645	9	3
"Basselinia glabrata"	10	"VU"	"nonLC"	"VU"	"nonLC"	"TEST"	5	5	36	1339.09277294583	24.0961633682251	5.97588686943054	0.00596833559684455	227.904820251465	46.5240337371826	0.76650483241151	0.245449029126214	1	1
"Licuala meijeri"	3	"Possibly Threatened"	"nonLC"	"Possibly Threatened"	"nonLC"	"TEST"	3	3	12	6268.91582267894	25.4535045623779	33.4965511957804	0.331318492690722	41.2287623087565	20.3679078420003	0.853364855553542	0.471631205673759	1	1
"Bactris fissifrons"	71	"LC"	"LC"	"LC"	"LC"	"TEST"	45	49	240	1768463.44512545	9.40518175086505	18.7299323519561	0.0358821338917371	53.3812983069621	26.5577718439236	0.81787258021871	0.443110691931748	12	4
"Bactris ferruginea"	31	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	25	26	112	215170.736361195	37.9229804008238	639.150319068663	0.0980231946995181	143.403586110761	38.0357151954405	0.797567180545778	0.348126708474032	6	2
"Areca catechu"	28	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	26	26	112	15761936.6319162	30.389487285614	382.092536517552	0.0615748700365657	150.385946614402	51.8406392165593	0.787424969069002	0.210511575802838	19	1
"Ravenea delicatula"	4	"CR"	"nonLC"	"CR"	"nonLC"	"TEST"	1	1	8	0.000429177771508694	19.0238761901855	32.5247802734375	0.211996704339981	252.639389038086	77.6328887939453	0.707154391591092	0.104529616724739	1	1
"Calamus modestus"	8	"LC"	"LC"	"LC"	"LC"	"TEST"	4	5	24	21791.8518517321	29.2415170669556	80.6095032691956	0.158622556831688	254.406887054443	79.7441596984863	0.74158012804053	0.0530179445350734	2	1
"Chamaedorea metallica"	18	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	8	11	72	30288.036111021	36.9875201119317	159.431989563836	0.0363007933677485	225.383977254232	80.1953873104519	0.696150418512037	0.108794632159118	2	2
"Hyphaene thebaica"	283	"LC"	"LC"	"LC"	"LC"	"TEST"	45	68	508	9618338.51006968	28.8294363476784	93.3418237234963	0.00591355706378893	215.681475905563	108.384775815499	0.695677609808053	0.003043641131298	11	28
"Chamaedorea glaucifolia"	36	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	13	23	132	10912.262181884	43.9001067479452	327.310900396771	0.0514581389207807	175.09625116984	84.2946210437351	0.698086580775185	0.0816371197198512	7	1
"Ravenea beentjei"	7	"CR"	"nonLC"	"CR"	"nonLC"	"TEST"	3	3	20	47.7932086291084	24.3675114767892	46.0054092407227	0.0751743002661637	254.381818498884	74.7117015293666	0.714391772348976	0.137626262626263	2	1
"Areca vestiaria"	31	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	19	22	100	205475.916335201	19.9463272412618	120.568055429766	0.076542793467055	28.8605647548552	23.9986771306684	0.837843156590984	0.440493260682535	3	2
"Chambeyronia lepidota"	8	"LC"	"LC"	"LC"	"LC"	"TEST"	2	2	20	28.1762428437469	24.2621269226074	3.08538997173309	0.00594750116579235	231.309944152832	41.60240650177	0.766309200064215	0.280739161336176	1	1
"Butia microspadix"	18	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	11	11	64	1121284.6566597	40.1681894196404	252.545375406742	0.124932052464121	274.73928366767	34.8049328062269	0.65362817115692	0.331097397370539	4	2
"Burretiokentia hapala"	7	"VU"	"nonLC"	"VU"	"nonLC"	"TEST"	2	2	20	127.98482872238	27.319618497576	6.83565446308681	0.0146486127882132	216.087866646903	54.0141416277204	0.774927174746887	0.194846292947559	1	1
"Roystonea borinquena"	4	"Near Threatened"	"nonLC"	"Near Threatened"	"nonLC"	"TEST"	3	3	12	14253.536305774	53.7562408447266	1227.71530532837	0.0556694371625781	132.33988571167	40.6998724937439	0.766112999522477	0.291017964071856	2	4
"Allagoptera brevicalyx"	33	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	22	24	132	391101.12315969	42.9156661756111	1204.07967243773	0.114402699481809	140.847667116107	47.4528969273423	0.803468037440097	0.263003748828491	8	1
"Burretiokentia koghiensis"	4	"CR"	"nonLC"	"CR"	"nonLC"	"TEST"	1	1	12	0.77612257986635	40.6548519134521	353.598917007446	0.0510583128780127	247.153957366943	35.2265996932983	0.747571409184278	0.283427495291902	1	1
"Licuala elliptica"	2	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	2	2	8	NA	27.8766632080078	30.6813945770264	0.287127256393433	42.5386829376221	25.5112934112549	0.840436206901579	0.418575063613232	1	1
"Borassus madagascariensis"	10	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	7	7	40	65149.2545088953	27.4364730834961	48.2575101852417	0.0671959389932454	159.560688781738	114.885988616943	0.71852576705417	0.0272058823529412	2	1
"Raphia australis"	11	"VU"	"nonLC"	"VU"	"nonLC"	"TEST"	8	9	40	405629.46934223	46.0726894031871	370.243019450795	0.0955626168711619	273.325580943714	48.8247906077992	0.679583118884957	0.225589225589226	5	3
"Calamus viminalis"	70	"LC"	"LC"	"LC"	"LC"	"TEST"	55	57	244	1391112.39408479	32.1279263150865	232.967655352184	0.101682632798801	185.406546129499	86.5506419590541	0.746040428733033	0.0233577171000217	19	15
"Butia capitata"	36	"Threatened,Data Deficient"	"nonLC"	"Threatened,Data Deficient"	"nonLC"	"TEST"	33	33	144	1042666.63829444	24.3444717460208	106.641263430731	0.0510084687719225	178.390104505751	80.4849112298754	0.692466026674393	0.0798244573597438	6	3
"Calamus erioacanthus"	43	"LC"	"LC"	"LC"	"LC"	"TEST"	23	27	160	755693.236177661	25.8136687056963	92.1821104676225	0.156926420571412	37.910861259283	24.7615349126417	0.842226329076852	0.449920609717372	6	3
"Areca macrocalyx"	123	"LC"	"LC"	"LC"	"LC"	"TEST"	81	89	416	1855570.03521227	18.3288789898157	24.6355646228403	0.0533727357950539	58.186406375916	25.424775887311	0.828376248863351	0.471127076784913	15	4
"Heterospathe brevicaulis"	2	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	2	2	8	NA	18.2580089569092	48.9555106163025	0.027682984713465	164.515670776367	54.1197395324707	0.786889918187397	0.189591078066914	1	1
"Licuala rubiginosa"	9	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	4	4	32	1782.9733672291	21.5803949568007	16.1668065388997	0.0755301545270615	41.2649629380968	17.8422092861599	0.854515232992761	0.60292249047014	2	1
"Ravenea musicalis"	6	"CR"	"nonLC"	"CR"	"nonLC"	"TEST"	1	2	16	9.19235958425713	30.0448532104492	145.659423828125	0.068825364112854	256.158203125	44.485897064209	0.698177779165007	0.233918128654971	1	1
"Chamaedorea fractiflexa"	2	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	2	2	8	NA	29.1742925643921	38.4304361343384	0.0310583086684346	105.516719818115	97.4811706542969	0.717471252271882	0.0135287485907554	1	2
"Attalea brasiliensis"	3	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	3	3	12	12435.4673860237	32.4422458012899	483.643962661425	0.0503698244380454	97.8723602294922	78.4925689697266	0.707569859915534	0.0209545983701979	2	1
"Pinanga patula"	13	"LC"	"LC"	"LC"	"LC"	"TEST"	12	12	52	530143.271171335	19.9607412820825	110.323985980107	0.291939224689626	27.0047867114727	26.2139973273644	0.840413059366571	0.452656434474615	5	1
"Attalea oleifera"	15	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	12	12	56	543130.492443747	29.0040780385335	173.112979189555	0.0523918456708391	153.228356933594	65.9600852966309	0.741283880974486	0.096081386586285	7	1
"Licuala glabra"	26	"Possibly Threatened"	"nonLC"	"Possibly Threatened"	"nonLC"	"TEST"	24	24	104	269454.91984801	28.389614545382	144.379231856419	0.214464444098457	61.8608423379751	46.042695412269	0.83202101799119	0.259977684318942	5	3
"Brahea armata"	58	"LC"	"LC"	"LC"	"LC"	"TEST"	21	30	176	272869.973591449	22.2267627551638	11.1282763219567	0.000481149616360136	521.94950130068	81.3620571268016	0.549481387749622	0.0167423382519863	8	1
"Phoenix paludosa"	11	"NT"	"nonLC"	"NT"	"nonLC"	"TEST"	9	9	40	420848.496290264	34.9018140272661	177.246161374179	0.129682138054208	102.412648981268	75.0618279196999	0.798861336232827	0.0503922034704066	5	11
"Leucothrinax morrisii"	20	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	14	15	76	823615.84696059	53.1089071909587	160.039165759087	0.0604959477339435	201.16220664978	47.3878435134888	0.756611932005484	0.26005291005291	7	7
"Burretiokentia vieillardii"	48	"LC"	"LC"	"LC"	"LC"	"TEST"	14	23	152	7140.78060213913	28.5780017375946	52.0760496209065	0.0137245038458786	236.569588025411	41.8331543604533	0.756690016683041	0.25845569435313	2	1
"Calamus sabalensis"	3	"CR"	"nonLC"	"CR"	"nonLC"	"TEST"	2	3	12	68.3038895466686	29.308219909668	26.4509747823079	0.403289973735809	41.7836558024089	25.0291233062744	0.838316876283868	0.421452702702701	1	1
"Chamaedorea alternans"	18	"LC"	"LC"	"LC"	"LC"	"TEST"	10	11	64	46907.6464068098	32.6027824613783	83.1296560896768	0.0322906726764308	209.581698947483	67.8853170606825	0.730328059400034	0.0935272727272728	3	1
"Burretiokentia dumasii"	2	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	1	1	8	NA	25.6725940704346	4.77322196960449	0.00738835986703634	243.559844970703	36.4774169921875	0.751763345401805	0.288389513108614	1	1
"Burretiokentia grandiflora"	3	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	1	1	8	0.554453445716143	25.5187072753906	75.7434463500977	0.0244905017316341	254.599243164062	33.2534523010254	0.740678105523607	0.323624595469256	1	1
"Calamus caryotoides"	5	"LC"	"LC"	"LC"	"LC"	"TEST"	3	3	20	19716.4225623415	13.8970300674438	5.13686450272799	0.0102567819878459	219.670306396484	97.4470855712891	0.765846478509904	0.0402617010568697	2	1
"Calamus inermis"	42	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	29	30	148	1720132.77058165	27.2854598363241	89.7621162391844	0.0857852685841776	279.642932891846	86.9200254167829	0.71319691415886	0.0413068844807469	11	9
"Ravenea madagascariensis"	54	"LC"	"LC"	"LC"	"LC"	"TEST"	28	35	192	217387.229051539	23.7756947764644	45.7574690536216	0.132387430899716	251.694902490686	80.6780207598651	0.698789012230996	0.114196516595465	2	1
"Licuala orbicularis"	5	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	3	3	16	298.570618342422	40.4562713623047	243.774549102783	0.238097941875458	46.5486358642578	38.7300136566162	0.842119421481627	0.301677852348993	1	1
"Eremospatha haullevilleana"	23	"LC"	"LC"	"LC"	"LC"	"TEST"	12	15	76	469909.139923317	9.31001661134803	8.02335405349731	0.00617493001324044	66.6279222239619	49.7962182086447	0.794450736159266	0.12664501794565	5	9
"Phoenix reclinata"	327	"LC"	"LC"	"LC"	"LC"	"TEST"	226	253	1156	53975037.1775785	29.3564641344035	208.19639496462	0.0600243435929694	183.323715104969	79.3456276301579	0.721657146647518	0.0636577338975083	45	43
"Astrocaryum carnosum"	1	"VU"	"nonLC"	"VU"	"nonLC"	"TEST"	1	1	4	NA	15.2846460342407	5.76528930664062	0.0798932835459709	42.7111930847168	22.8082656860352	0.80682716151547	0.479245283018868	1	1
"Heterospathe phillipsii"	1	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	1	1	4	NA	27.4800815582275	52.4708709716797	0.00735512468963861	157.855361938477	33.6415481567383	0.820538106882765	0.3810888252149	1	1
"Geonoma schottiana"	293	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TEST"	167	216	1056	1193271.90497631	34.1793251297987	430.247837174468	0.0639171971363983	253.490044525459	47.9594160769987	0.689388629643241	0.25214446615846	12	2
"Orania longisquama"	31	"LC"	"LC"	"LC"	"LC"	"TEST"	16	17	88	168490.995742841	28.3449830086	61.871521365258	0.184957180592802	219.062675229965	53.3950067335559	0.757864343539378	0.216899706542379	3	1
"Brahea brandegeei"	40	"LC"	"LC"	"LC"	"LC"	"TEST"	16	21	132	100637.618947382	21.9697854310274	30.1891439546831	0.00129416786885486	431.511352539062	125.163215637207	0.595858243260633	0.00541484716157205	7	1
"Acrocomia emensis"	5	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	5	5	20	363524.041779703	28.3235982894897	53.851737421751	0.0940502349287271	165.385102844238	82.1171569824219	0.686073182208285	0.0368627450980392	1	3
"Actinokentia divaricata"	32	"LC"	"LC"	"LC"	"LC"	"TRAIN"	11	18	100	4150.03153770552	26.5847623348236	53.6260961256921	0.0165909527804615	245.567474842072	36.4130727052689	0.747150363530701	0.287889953328421	1	1
"Actinokentia huerlimannii"	4	"EN"	"nonLC"	"EN"	"nonLC"	"TRAIN"	2	2	8	9.97586845537426	21.4226026535034	40.9252405166626	0.00745066421222873	256.761337280273	31.0117797851562	0.734939867142759	0.326996197718631	1	1
"Aiphanes grandis"	15	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	4	5	24	1985.72565597658	27.2721181233724	57.0219193776449	0.0226637097696463	25.9561401367188	93.7333730061849	0.788014596647274	0.0474202206978826	2	1
"Aiphanes minima"	3	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	2	2	12	635.81973167984	49.2190984090169	388.641515096029	0.199423097074032	117.462707519531	32.1650333404541	0.809701772170642	0.349162011173184	2	2
"Aiphanes verrucosa"	13	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	3	4	36	500.509143894063	21.2785248389611	18.2127058689411	0.0166105391600957	34.4514934833233	33.8897925156813	0.764983745515371	0.356151268549544	2	1
"Areca abdulrahmanii"	2	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	1	1	8	NA	4.17544746398926	1.68253076076508	0.00306143774650991	31.9933547973633	15.8185052871704	0.847787890038748	0.640866873065015	1	1
"Areca novohibernica"	27	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	22	22	100	912872.226517018	25.2811114237859	20.2677203990795	0.0789643317392027	39.5700580455639	23.8863989512126	0.857909569049363	0.488139362490733	5	2
"Areca oxycarpa"	9	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	5	5	28	3022.22281174707	22.3419494628906	93.6738633049859	0.0982849581374062	26.551020304362	23.3499654134115	0.837740899669628	0.413986727922409	2	1
"Areca parens"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	1	1	4	NA	36.1026840209961	146.368011474609	0.0211693700402975	113.820175170898	48.383918762207	0.818415987204187	0.24390243902439	1	1
"Areca unipa"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	1	1	4	NA	1.19708025455475	12.4523859024048	0.00499328598380089	34.5747756958008	14.5449819564819	0.850332939370594	0.603603603603604	1	1
"Astrocaryum aculeatissimum"	51	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	37	40	184	196065.512968581	35.9449998070212	446.858639464659	0.0937820972518667	222.749007580327	51.6528395858465	0.717890766053945	0.225083885009522	5	3
"Attalea barreirensis"	23	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	17	20	84	947175.559956678	24.1957970494809	26.615698368653	0.0973841908347347	103.807634768279	87.411283078401	0.704940157090552	0.0146644106034969	5	2
"Attalea funifera"	35	"LC"	"LC"	"LC"	"LC"	"TRAIN"	24	27	124	112381.569445849	38.6245825086321	471.141726943425	0.0863064692488738	134.941639927455	34.9476005281721	0.815810948394889	0.376982663223902	6	2
"Bactris glaucescens"	44	"LC"	"LC"	"LC"	"LC"	"TRAIN"	31	33	140	2573714.79453376	18.8964659083973	12.2217208167369	0.0521397545843766	205.015406348489	61.3517462123524	0.705258456279469	0.121186881832379	10	5
"Bactris hatschbachii"	6	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	5	5	24	126752.125365989	33.783478418986	55.0023463567098	0.0382688626026114	242.546516418457	37.3017419179281	0.750007270238819	0.328738800827016	3	2
"Bactris horridispatha"	12	"VU"	"nonLC"	"VU"	"nonLC"	"TRAIN"	8	8	32	12051.4081673953	37.0762062072754	607.410127639771	0.10912421811372	140.389709472656	25.5731720924377	0.81041722611768	0.469130947699567	2	1
"Bactris pickelii"	37	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	26	28	136	271603.276002324	32.0944826280749	76.4605476082982	0.0956756911064322	161.968069128088	45.9056420712858	0.768965033760163	0.257712456344587	5	2
"Bactris timbuiensis"	10	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	3	4	36	298.901273451837	27.0786836624146	40.5063005447388	0.157864796370268	199.941435241699	50.2742141723633	0.709569895173361	0.246039603960396	1	1
"Bactris turbinocarpa"	3	"LC"	"LC"	"LC"	"LC"	"TRAIN"	2	2	12	236.279858629066	6.97293933232625	1.54826410611471	0.025120310485363	50.7241051991781	40.0662930806478	0.824059898800891	0.312387791741472	2	2
"Basselinia deplanchei"	33	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	10	13	108	2531.87668626424	24.7705007032915	42.2356136061928	0.0131504769687484	250.198839129824	35.0158971150716	0.741000634623613	0.310948581560284	1	1
"Basselinia eriostachys"	7	"LC"	"LC"	"LC"	"LC"	"TRAIN"	5	5	20	639.56742431665	28.4231379372733	32.7253866876875	0.0176708267203399	246.098678588867	39.1575704302107	0.745902512403648	0.282194848824188	1	1
"Basselinia favieri"	3	"EN"	"nonLC"	"EN"	"nonLC"	"TRAIN"	1	1	12	0.531858390372515	22.9926815032959	3.30768704414368	0.0058986940421164	234.619049072266	41.0979385375977	0.76322788725415	0.296918767507003	1	1
"Basselinia gracilis"	79	"EN"	"nonLC"	"EN"	"nonLC"	"TRAIN"	24	40	268	9824.9187134657	27.2843079144442	35.2007301608218	0.0127560484349798	237.981008022646	41.8011328298834	0.756083901514825	0.262782918458665	2	1
"Basselinia humboldtiana"	5	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	3	4	20	1204.80274303808	26.87014503479	20.469536113739	0.0149334153858945	247.157995605469	38.2010459899902	0.745368367732275	0.288109756097561	1	1
"Basselinia pancheri"	112	"LC"	"LC"	"LC"	"LC"	"TRAIN"	22	43	316	13903.6008179892	27.0240025860923	39.246079227754	0.0177011575963531	240.282168115888	41.7706659521375	0.752121319093472	0.256463355444103	2	1
"Basselinia porphyrea"	3	"EN"	"nonLC"	"EN"	"nonLC"	"TRAIN"	2	2	12	13.2359658623266	23.3924007415771	54.904488881429	0.0169670179408665	255.267913818359	32.3560752868652	0.738519618292508	0.326599326599327	1	1
"Basselinia sordida"	11	"LC"	"LC"	"LC"	"LC"	"TRAIN"	4	5	32	2797.31347311638	26.2222789417614	4.1311797878959	0.0178667149633508	239.894674127752	44.9047594937411	0.752465301689807	0.240729101194218	1	1
"Basselinia tomentosa"	6	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	2	2	20	28.3013646015253	28.9869063695272	5.89400307337443	0.0205074092373252	241.540148417155	41.4838797251383	0.747962372202884	0.274182788525684	1	1
"Basselinia velutina"	13	"NT"	"nonLC"	"NT"	"nonLC"	"TRAIN"	6	6	44	2753.09580121552	26.2757625579834	4.71032663492056	0.00916980443379054	241.386819692758	39.6213783851037	0.752318618904643	0.292756816304049	1	1
"Basselinia vestita"	5	"CR"	"nonLC"	"CR"	"nonLC"	"TRAIN"	1	1	12	1.38068211254048	29.9080593109131	4.9183069229126	0.00903236512094736	243.13967590332	43.934651184082	0.750627269111259	0.244047619047619	1	1
"Beccariophoenix alfredii"	4	"VU"	"nonLC"	"VU"	"nonLC"	"TRAIN"	2	2	8	165.907059643539	21.1200828552246	30.2794723510742	0.0176633000883157	251.12504196167	106.714780807495	0.663181970642877	0.0232558139534884	2	1
"Beccariophoenix madagascariensis"	32	"VU"	"nonLC"	"VU"	"nonLC"	"TRAIN"	14	14	80	60156.7333506463	25.0742871761322	40.9519650936127	0.105393708552583	248.420018196106	59.6252055168152	0.715564618425242	0.168991055112052	2	1
"Borassus aethiopum"	1236	"LC"	"LC"	"LC"	"LC"	"TRAIN"	175	425	3428	16844939.8975835	28.645348208429	181.308499116053	0.0467343135552784	173.403370570211	92.2928186003058	0.732987067324263	0.014329576676686	20	30
"Borassus akeassii"	15	"LC"	"LC"	"LC"	"LC"	"TRAIN"	6	8	40	342368.894975067	29.3280047098796	94.8439353942871	0.0246521052399961	119.360480753581	107.939946492513	0.749017351025623	0.00452374968585071	3	10
"Brahea calcarea"	95	"LC"	"LC"	"LC"	"LC"	"TRAIN"	29	44	288	700902.674394866	32.846087285092	160.751309579611	0.0226876130424467	228.33440800717	90.7475357858758	0.631304296719615	0.0543625678119351	14	5
"Brahea decumbens"	32	"LC"	"LC"	"LC"	"LC"	"TRAIN"	9	13	88	26381.4561705659	22.4730731844902	9.63355924189091	0.0054604419219686	287.764090538025	70.5600247383118	0.595359208332645	0.116182572614108	2	1
"Brahea edulis"	3	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TRAIN"	2	2	12	1305.17327490065	45.2163887023926	196.186105509599	0.0684343874454498	294.717519124349	80.4214045206706	0.645698656598269	0.0551181102362204	1	1
"Brahea moorei"	50	"LC"	"LC"	"LC"	"LC"	"TRAIN"	16	27	164	29933.0675720626	30.0614128112793	39.2132710504532	0.0177696287620347	319.512451782227	79.246763381958	0.617446056136877	0.083154378429969	4	1
"Butia archeri"	25	"Not Threatened"	"LC"	"Not Threatened"	"LC"	"TRAIN"	16	19	100	491486.973933789	42.728549041748	559.865357608795	0.0220151496678591	145.149925231934	80.394640045166	0.699851025308927	0.0368452204794318	3	2
