species	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Chamaedorea frondosa	non-LC	LC	1	0	0	0	0	1	1	0	0	0.7	1.5	understorey	20	0.42	0.32	0.12	0.55	NA	NA	0.55	0.5	0.6	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea geonomiformis	non-LC	non-LC	1	0	0	0	0	1	1	0	0	2	1	understorey	10	0.65	0.22	0.48	0.9	NA	NA	0.9	0.6	1.2	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea glaucifolia	non-LC	non-LC	1	0	0	0	0	1	1	0	0	4	3.5	understorey	5	2.4	2	0.45	0.8	NA	NA	0.85	0.7	1	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea graminifolia	non-LC	LC	1	0	0	0	0	1	0	0	0	3	3	understorey	6	1.5	1.1	0.45	0.8	NA	NA	0.8	0.6	1	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea guntheriana	non-LC	NA	1	0	0	0	0	1	1	0	0	3	0.7	understorey	5	0.21	0.12	0.11	0.6	NA	NA	0.6	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea hodelii	LC	LC	1	0	0	0	0	1	1	0	0	2	2	understorey	6	NA	0.54	0.47	1.05	1	1.1	0.9	0.8	1	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea hooperiana	non-LC	non-LC	1	0	0	0	0	1	0	0	0	4	2.5	understorey	7	1.35	1	0.4	0.75	NA	NA	0.75	0.7	0.8	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea ibarrae	LC	LC	1	0	0	0	0	1	1	0	0	0.3	1	understorey	NA	2	0.5	NA	0.9	0.8	1	0.6	0.5	0.7	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea incrustata	non-LC	NA	1	0	0	0	0	1	1	0	0	6	3	canopy	5	0.85	0.85	NA	0.9	NA	NA	0.5	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea keelerorum	LC	LC	1	0	0	0	0	1	1	0	0	4	2.5	understorey	4	0.7	0.7	NA	0.9	0.8	1	0.7	0.6	0.8	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
