species	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Geonoma maxima	LC	LC	1	0	0	0	0	1	0	0	0	9	5	canopy	20	2.2	1.2	0.2	1.113070866	0.5	1.82	0.823228347	0.5	1.3	small	globose	conspicuous	1	1	0	0	1	0	1	0	0	1
Geonoma monospatha	non-LC	LC	1	0	0	0	0	1	2	0	0	0.7	0.7	understorey	NA	0.315	0.23	0	0.67	0.61	0.72	0.522	0.49	0.55	small	elongate	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma mooreana	non-LC	LC	1	0	0	0	0	1	0	0	0	2.4	1.7	understorey	NA	0.785	0.79	NA	0.56	0.44	0.67	0.455	0.41	0.5	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma multisecta	LC	LC	1	0	0	0	0	1	1	0	0	2.3	NA	understorey	16	NA	0.94	0.77	1.12	0.96	1.32	0.74	0.62	0.79	small	NA	NA	0	0	0	0	0	0	1	0	0	0
Geonoma occidentalis	LC	LC	1	0	0	0	1	0	2	0	0	3	1.7	understorey	18	NA	0.575	0.55	0.735	0.62	0.85	0.59	0.54	0.66	small	NA	cryptic	0	0	0	0	0	0	0	0	0	0
Geonoma oldemanii	LC	LC	1	0	0	0	0	1	0	0	0	2.5	2.4	understorey	19	1.67	1.49	NA	1.62	1.44	1.77	1.373333333	1.24	1.63	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma oligoclona	LC	LC	1	0	0	0	0	1	0	0	0	2.5	5	understorey	10	0.37	0.37	NA	0.6625	0.595	0.73	0.6	0.565	0.64	small	globose	cryptic	0	0	0	0	1	0	0	0	0	0
Geonoma operculata	non-LC	NA	1	0	0	0	0	1	NA	0	0	1.5	NA	understorey	NA	NA	0.23	NA	0.75	NA	NA	0.58	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma orbignyana	LC	LC	1	0	0	0	0	1	2	0	0	4	6	understorey	20	1.66	0.76	NA	0.7	0.6	0.8	0.689736842	0.51	1.29	small	elongate	cryptic	0	0	0	0	1	0	1	0	0	1
Geonoma paradoxa	non-LC	LC	1	0	0	0	1	0	1	0	0	0.3	2	understorey	10	0.98	0.35	NA	0.79375	0.5	0.97	0.5625	0.53	0.6	small	ovoid	cryptic	0	0	0	0	0	0	0	0	0	0
Geonoma pauciflora	LC	LC	1	0	0	0	0	1	0	0	0	3	1.5	understorey	19	0.71	0.44	NA	0.96	0.73	1.21	0.78	0.56	1	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma peruviana	non-LC	non-LC	1	0	0	0	0	1	NA	0	0	1	1.2	understorey	NA	NA	NA	NA	0.54	NA	NA	0.52	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma pinnatifrons	non-LC	non-LC	1	0	0	0	0	1	2	0	0	6	3.2	canopy	23	NA	1.63	1.25	0.645	0.36	0.93	0.48	0.35	0.7	small	NA	cryptic	0	0	0	0	0	0	0	0	0	0
Geonoma poeppigiana	LC	LC	1	0	0	0	0	1	1	0	0	4	5	understorey	16	1.2	1	NA	0.72	0.64	0.84	0.63	0.46	0.8	small	globose	cryptic	0	0	0	0	1	0	1	1	0	1
Geonoma pohliana	LC	LC	1	0	0	0	0	1	2	0	0	7.5	7	canopy	19	1.675	0.78	NA	1.06462766	0.55	1.32	0.735	0.47	1	small	NA	cryptic	0	0	0	0	0	0	0	1	0	0
Geonoma poiteauana	LC	LC	1	0	0	0	0	1	NA	0	0	0.1	2.1	understorey	NA	NA	0.795	0.267	0.895	0.79	1	0.72	0.64	0.8	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma sanmartinensis	non-LC	non-LC	1	0	0	0	0	1	NA	0	0	1.5	NA	understorey	NA	NA	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma santanderensis	non-LC	NA	1	0	0	0	0	1	0	0	0	1.5	1	understorey	12	0.25	0.25	NA	0.85	0.8	0.99	0.6	0.46	0.72	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma schizocarpa	non-LC	non-LC	1	0	0	0	0	1	NA	0	0	2	2.8	understorey	NA	NA	0.92	NA	1.4	1.23	1.55	0.89	0.86	0.93	small	NA	NA	0	0	0	0	0	0	0	0	0	0
Geonoma schottiana	LC	LC	1	0	0	0	0	1	2	0	0	4	4	understorey	24	0.85	1.18	NA	0.93	0.74	1.34	0.825	0.59	1.06	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma scoparia	non-LC	NA	1	0	0	0	0	1	1	0	0	3	1	understorey	19	0.695	0.34	NA	0.6	0.58	0.61	0.47	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma simplicifrons	non-LC	NA	1	0	0	0	0	1	2	0	0	3	1.5	understorey	8	0.88	0.45	NA	0.59	0.45	0.66	0.49	0.43	0.56	small	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma spinescens	non-LC	NA	1	0	0	0	0	1	2	0	0	2	1.5	understorey	13	0.81	0.41	NA	0.71	NA	NA	0.55	NA	NA	small	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma stricta	LC	LC	1	0	0	0	0	1	2	0	0	5	5	understorey	17	1.34	0.76	NA	0.86	0.59	1.45	0.652785235	0.4	1	small	globose	cryptic	1	0	0	0	0	0	1	1	0	1
Geonoma talamancana	LC	LC	1	0	0	0	0	1	2	0	0	1.3	1.3	understorey	10	0.57	0.57	NA	0.73	0.63	0.83	0.515	0.45	0.58	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma tenuissima	non-LC	non-LC	1	0	0	0	0	1	0	0	0	4	1	understorey	8	0.5	0.34	NA	0.53	0.46	0.6	0.482	0.41	0.55	small	globose	cryptic	0	0	0	0	0	0	0	0	0	0
Geonoma triandra	LC	LC	1	0	0	0	0	1	0	0	0	3	1	understorey	8	0.527	0.38	NA	0.691428572	0.6	0.74	0.55	0.48	0.61	small	ovoid	cryptic	0	0	0	0	0	0	0	1	0	0
Geonoma triglochin	LC	LC	1	0	0	0	0	1	1	0	0	8	5	canopy	25	2.1	1.6	NA	1.297	1	1.6	1.049	0.76	1.27	small	globose	cryptic	0	0	0	0	0	0	1	0	0	0
Geonoma trigona	non-LC	NA	1	0	0	0	0	1	1	0	0	3	3	understorey	7	0.41	0.32	NA	0.9	NA	NA	0.65	NA	NA	small	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma umbraculiformis	LC	LC	1	0	0	0	0	1	1	0	0	2	2.5	understorey	27	1.5	1.2	NA	1.26	1.2	1.3	1.03	0.97	1.1	small	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma undata	non-LC	non-LC	1	0	0	0	0	1	1	0	0	15	10	canopy	20	3.79	2.65	NA	0.95	0.44	1.54	0.68959596	0.38	1.2	small	globose	cryptic	0	0	0	0	0	0	1	0	0	1
Geonoma venosa	non-LC	NA	1	0	0	0	0	1	NA	0	0	2.5	NA	understorey	NA	NA	0.275	0.135	0.81	NA	NA	0.72	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guihaia argyrata	LC	LC	0	0	1	0	2	2	0	0	0	0.5	5	understorey	14	1	1	NA	0.6	NA	NA	0.6	NA	NA	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guihaia grossifibrosa	non-LC	non-LC	0	0	1	0	2	2	0	0	0	2.5	23	understorey	14	2.15	0.35	NA	1	NA	NA	1	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guihaia lancifolia	non-LC	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hedyscepe canterburyana	non-LC	NA	0	0	1	0	0	1	1	0	0	15	20	canopy	12	3	2.8	NA	4	3.8	4.2	2.75	2.6	2.9	large	ovoid	conspicuous	0	1	0	0	0	0	0	0	0	0
Hemithrinax compacta	non-LC	NA	1	0	0	0	0	1	1	0	0	15	30	canopy	NA	1.7	1.2	NA	0.9	NA	NA	0.9	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hemithrinax ekmaniana	non-LC	NA	1	0	0	0	0	1	1	0	0	NA	NA	NA	NA	1.4	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hemithrinax rivularis	non-LC	NA	1	0	0	0	0	1	1	0	0	NA	NA	NA	NA	1.73	1.4	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe annectens	non-LC	non-LC	0	0	1	0	0	1	1	0	0	12	NA	canopy	NA	1	1	NA	1.8	NA	NA	1.25	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe arfakiana	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe barfodii	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe brevicaulis	non-LC	non-LC	0	0	1	0	0	1	1	0	0	0.5	8	understorey	8	2	1.9	0.97	0.8	NA	NA	0.6	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe cagayanensis	non-LC	NA	0	0	1	0	0	1	0	0	0	6.5	10	canopy	NA	2.6	NA	0.58	0.8	NA	NA	0.6	NA	NA	small	NA	conspicuous	0	1	0	0	0	0	0	0	0	0
Heterospathe califrons	non-LC	NA	0	0	1	0	0	1	1	0	0	1.5	6	understorey	13	2	1.15	NA	1.6	NA	NA	0.7	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe clemensiae	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe compsoclada	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe delicatula	non-LC	non-LC	0	0	1	0	1	0	0	0	0	0	NA	understorey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe dransfieldii	non-LC	non-LC	0	0	1	0	0	1	0	0	0	4	1.5	understorey	7	1	NA	NA	0.7	NA	NA	0.3	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe elata	LC	LC	1	0	1	0	0	1	1	0	0	13	8.2	canopy	11	3	2.5	NA	1.125	1	1.25	NA	NA	NA	small	globose	conspicuous	0	1	0	0	1	0	1	0	0	1
Heterospathe elegans	LC	LC	0	0	1	0	2	2	2	0	0	2.5	5	understorey	12	1.4	1.4	NA	1.25	1	1.5	0.9	0.8	1	small	elongate	conspicuous	0	0	0	0	1	0	1	0	0	0
Heterospathe elmeri	non-LC	non-LC	0	0	1	0	0	1	1	0	0	8	NA	canopy	NA	1	NA	NA	1.2	NA	NA	0.6	NA	NA	small	NA	NA	0	1	0	0	1	0	0	0	0	0
Heterospathe glabra	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	10	1.4	1.4	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe glauca	non-LC	NA	0	0	1	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe intermedia	non-LC	NA	0	0	1	0	0	1	1	0	0	7	13	canopy	NA	2	NA	NA	1.1	NA	NA	0.7	NA	NA	small	NA	conspicuous	0	1	0	0	0	0	0	0	0	0
Heterospathe kajewskii	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	11	NA	NA	0.82	0.78	0.06	1.5	NA	NA	1.1	NA	NA	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe ledermanniana	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe lepidota	non-LC	NA	0	0	1	0	0	1	1	0	0	4	5	understorey	NA	1.8	NA	NA	1.6	1.5	1.7	1	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe longipes	non-LC	non-LC	1	0	0	0	0	1	NA	0	0	3.6	NA	understorey	NA	NA	NA	NA	2.5	NA	NA	2.5	NA	NA	small	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe macgregorii	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe minor	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	5	NA	NA	2	NA	NA	1.05	1	1.1	0.6	0.55	0.6	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe muelleriana	non-LC	non-LC	0	0	1	0	0	1	1	0	0	9.5	10	canopy	7	3.5	2.8	0.75	0.5	NA	NA	0.5	NA	NA	small	globose	NA	0	0	0	0	1	0	1	0	0	1
Heterospathe negrosensis	non-LC	non-LC	0	0	1	0	0	1	1	0	0	3	9	understorey	NA	2	NA	NA	1.05	1	1.1	0.6	NA	NA	small	globose	conspicuous	0	1	0	0	1	0	0	0	0	0
Heterospathe obriensis	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	3.25	2.9	3.5	2.5	2.2	2.8	small	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe parviflora	non-LC	non-LC	0	0	1	0	0	1	1	0	0	NA	15	NA	NA	2.5	NA	NA	0.95	NA	NA	0.95	0.9	1	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe philippinensis	non-LC	LC	0	0	1	0	0	1	2	0	0	5	3.5	understorey	NA	1.1	NA	0.5	1	NA	NA	0.7	NA	NA	small	elongate	conspicuous	0	1	0	0	1	0	0	0	0	0
Heterospathe phillipsii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	15	20	canopy	12	5	4.5	0.55	1.3	NA	NA	0.7	NA	NA	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe pilosa	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe porcata	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.9	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe pulchra	non-LC	non-LC	0	0	1	0	0	1	1	0	0	NA	NA	NA	10	2.5	NA	NA	0.9	NA	NA	0.8	NA	NA	small	ovoid	conspicuous	0	0	0	0	1	0	1	0	0	1
Heterospathe pullenii	non-LC	NA	0	0	1	0	0	1	1	0	0	6	4	canopy	NA	NA	1.05	0.45	1.7	1.6	1.8	0.9	0.7	1.1	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe ramulosa	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe salomonensis	LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	2	NA	NA	0.6	NA	NA	0.6	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe scitula	non-LC	non-LC	0	0	1	0	0	1	2	0	0	3	1.5	understorey	8	0.54	NA	NA	0.8	NA	NA	0.6	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe sensisi	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1.225	1.2	1.25	0.55	0.5	0.55	small	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe sibuyanensis	non-LC	NA	0	0	1	0	0	1	1	0	0	10	12	canopy	NA	2	NA	NA	1	NA	NA	0.7	NA	NA	small	globose	conspicuous	0	1	0	0	1	0	0	0	0	0
Heterospathe sphaerocarpa	non-LC	non-LC	0	0	1	0	1	0	NA	0	0	0	NA	understorey	6	2	NA	NA	0.8	NA	NA	0.75	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe trispatha	non-LC	non-LC	0	0	1	0	0	1	1	0	0	3	5	understorey	8	0.7	NA	NA	1.2	NA	NA	0.8	NA	NA	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe uniformis	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	1	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterospathe woodfordiana	non-LC	non-LC	0	0	1	0	0	1	1	0	0	4	NA	understorey	NA	NA	NA	NA	1.3	NA	NA	1	NA	NA	small	NA	NA	0	1	0	0	0	0	0	0	0	0
Howea belmoreana	non-LC	NA	0	0	1	0	0	1	1	0	0	12	15	canopy	18	5	4	NA	3.5	3	4	2.5	2	3	small	NA	conspicuous	0	1	0	0	0	0	1	0	0	0
Howea forsteriana	NA	NA	0	0	1	0	0	1	1	0	0	25	15	canopy	18	5	4	NA	4	3	5	2.5	2	3	large	globose	conspicuous	0	1	0	0	0	0	0	0	0	0
Hydriastele affinis	LC	NA	0	0	1	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele aprica	non-LC	non-LC	0	0	1	0	0	1	1	0	0	5	NA	understorey	7	0.23	0.62	0.18	0.8	NA	NA	0.7	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele beccariana	non-LC	non-LC	0	0	1	0	0	1	2	0	0	9	8	canopy	8	1.3	0.95	0.4	0.9	NA	NA	0.6	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele beguinii	non-LC	NA	0	0	1	0	0	1	1	0	0	15	3	canopy	NA	2	NA	0.92	1.5	NA	NA	1.1	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele biakensis	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1.075	0.95	1.2	0.55	0.5	0.6	small	NA	conspicuous	0	0	0	0	0	0	1	0	0	0
Hydriastele boumae	LC	NA	0	0	1	0	0	1	1	0	0	32	28	canopy	NA	3	2.65	0.4	1.2	1	1.4	0.7	0.6	0.8	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele brassii	non-LC	NA	0	0	1	0	0	1	1	0	0	15	10	canopy	11	1.85	NA	0.45	0.975	0.65	1.3	0.65	0.4	0.9	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele cariosa	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele carrii	LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele chaunostachys	non-LC	NA	0	0	1	0	0	1	1	0	0	30	35	canopy	15	3.85	NA	0.65	1.5	NA	NA	1	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele costata	LC	LC	0	0	1	0	0	1	1	0	0	35	40	canopy	15	4.5	4.5	0.55	0.85	0.7	1	0.475	0.45	0.5	small	NA	cryptic	1	0	1	0	1	1	1	1	0	0
Hydriastele cyclopensis	LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele cylindrocarpa	NA	NA	0	0	1	0	0	1	1	0	0	27	15	canopy	18	2.75	2.5	0.33	1.25	1.2	1.3	0.55	0.5	0.6	small	ovoid	cryptic	0	0	0	0	1	0	0	0	0	0
Hydriastele dransfieldii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	10	12	canopy	10	3	2.35	0.28	1.8	NA	NA	1.2	NA	NA	small	globose	conspicuous	0	0	0	0	0	0	1	0	0	0
Hydriastele flabellata	LC	LC	0	0	1	0	0	1	0	0	0	5	2	understorey	8	0.4	0.3	0.3	1.35	1.2	1.5	0.65	0.5	0.8	small	ellipsoid	conspicuous	0	0	0	0	0	0	1	0	0	0
Hydriastele geelvinkiana	LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele gibbsiana	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	0.85	NA	NA	0.7	NA	NA	small	ovoid	conspicuous	0	0	0	0	0	0	1	0	0	0
Hydriastele gracilis	non-LC	non-LC	0	0	1	0	0	1	0	0	0	1.5	1	understorey	6	0.25	NA	0.12	NA	NA	NA	NA	NA	NA	NA	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele hombronii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	20	28	canopy	20	1.8	1.8	0.33	1.55	1.4	1.7	0.625	0.6	0.65	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele kasesa	non-LC	NA	0	0	1	0	0	1	2	0	0	6	3.8	canopy	12	0.3	0.9	0.4	1.2	NA	NA	0.9	NA	NA	small	ovoid	conspicuous	0	0	0	0	0	0	1	0	0	0
Hydriastele kjellbergii	NA	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele ledermanniana	LC	LC	0	0	1	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	0	1	0	0	0
Hydriastele lepidota	LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele longispatha	non-LC	LC	0	0	1	0	0	1	1	0	0	24	25	canopy	19	2.5	2.3	0.22	1	0.7	1.3	0.65	0.4	0.9	small	globose	conspicuous	0	0	0	0	1	0	1	0	0	0
Hydriastele lurida	LC	LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	0	0	0	0	1	0	1	0	0	0
Hydriastele macrospadix	NA	NA	0	0	1	0	0	1	1	0	0	40	25	canopy	25	1.95	1.45	0.55	1.4	1.2	1.6	0.8	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele manusii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	18	10	canopy	9	2	NA	NA	1.15	NA	NA	0.5	NA	NA	small	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele mayrii	LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele micrantha	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele microcarpa	non-LC	NA	0	0	1	0	0	1	2	0	0	8	15	canopy	17	2.2	1.9	0.33	1	NA	NA	0.3	NA	NA	small	ovoid	cryptic	0	0	0	0	1	0	1	0	0	1
Hydriastele microspadix	LC	NA	0	0	1	0	0	1	1	0	0	16.2	6.5	canopy	10	2.3	2.3	0.69	0.9	NA	NA	0.6	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele moluccana	non-LC	non-LC	0	0	1	0	0	1	1	0	0	55	30	canopy	NA	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele montana	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	1.5	0.8	understorey	5	0.15	0.38	0.08	1.5	1.2	1.9	0.4	NA	NA	small	fusiform	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele nannostachys	non-LC	NA	0	0	1	0	0	1	NA	0	0	3	5	understorey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydriastele oxypetala	NA	NA	0	0	1	0	0	1	1	0	0	4.6	NA	understorey	NA	0.76	NA	0.33	0.8	NA	NA	0.4	NA	NA	small	elongate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
