"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Korthalsia flagellaris"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	NA	0.425618438755411	0.016	0.0714285714285714
"Korthalsia furtadoana"	17	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0168918918918919	0.0114155251141553	0.0049618320610687	0.000653716608477831	0.340168177270592	0.024	0
"Korthalsia hispida"	11	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0118243243243243	0.00799086757990868	0.00305343511450382	0.00217964278233951	0.163846037947755	0.032	0.0476190476190476
"Korthalsia jala"	6	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00506756756756757	0.00342465753424658	0.00190839694656489	1.99552772921104e-05	0.0757173937772809	0.008	0
"Korthalsia junghuhnii"	2	"NE"	"NE"	"Threatened"	"nonLC"	"NOT_ASSESSED"	0	0	0.000381679389312977	NA	0.0146346652309862	0.008	0
"Korthalsia laciniosa"	20	"NE"	"NE"	"Not Threatened"	"LC"	"NOT_ASSESSED"	0.0253378378378378	0.0171232876712329	0.00610687022900763	0.00719485570475416	0.27955343578328	0.064	0.238095238095238
"Korthalsia minor"	7	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00844594594594595	0.00570776255707763	0.00229007633587786	0.000127853029274375	0.238493038439369	0.016	0.0238095238095238
"Korthalsia rigida"	20	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0219594594594595	0.0148401826484018	0.00610687022900763	0.006561872241378	0.275864828160676	0.056	0.0952380952380952
"Korthalsia robusta"	16	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0135135135135135	0.0114155251141553	0.00419847328244275	0.00224969192422373	0.173489431050406	0.04	0.0476190476190476
"Korthalsia rostrata"	24	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0202702702702703	0.0148401826484018	0.00648854961832061	0.00540092072153382	0.245714088427304	0.032	0.0714285714285714
"Korthalsia zippelii"	44	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0472972972972973	0.0342465753424658	0.0148854961832061	0.00249212531468617	0.0968780438074894	0.088	0
"Laccospadix australasicus"	51	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0253378378378378	0.0251141552511416	0.0156488549618321	0.000619347274130652	0.00908333615410589	0.016	0
"Lanonia acaulis"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0.000381679389312977	NA	0.428448440042397	0.008	0
"Lanonia calciphila"	16	"NE"	"NE"	"Threatened,Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	0.0118243243243243	0.0102739726027397	0.0049618320610687	0.000206763995250226	0.129185746453716	0.032	0
"Lanonia centralis"	30	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0304054054054054	0.023972602739726	0.00916030534351145	0.000339636264047854	0.167966612980252	0.032	0.0238095238095238
"Lanonia dasyantha"	18	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	0.0168918918918919	0.0125570776255708	0.00458015267175573	0.00054522602571943	0.176208097166183	0.032	0.0476190476190476
"Lanonia hainanensis"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0	NA	0.171000377467783	0.008	0
"Lanonia hexasepala"	12	"NE"	"NE"	"Threatened"	"nonLC"	"NOT_ASSESSED"	0.00337837837837838	0.00342465753424658	0.00267175572519084	1.84272615418037e-05	0.174618959156456	0.024	0
"Lanonia magalonii"	7	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00337837837837838	0.00228310502283105	0.00152671755725191	2.27024051123626e-06	0.313730921147327	0.008	0
"Latania verschaffeltii"	1	"NE"	"NE"	"EN"	"nonLC"	"NOT_ASSESSED"	0	0	0	NA	0.0601643986026519	0.008	0
"Leopoldinia piassaba"	11	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	0.0118243243243243	0.00799086757990868	0.00305343511450382	0.000936488935647217	0.0377909571418911	0.04	0.0476190476190476
"Leopoldinia pulchra"	75	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	0.089527027027027	0.0662100456621005	0.0259541984732824	0.0066778003918798	0.0630131957993549	0.08	0.0476190476190476
"Lepidocaryum tenue"	295	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	0.219594594594595	0.210045662100457	0.0931297709923664	0.00794934810203219	0.0691014760704639	0.112	0.0952380952380952
"Licuala acuminata"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0	NA	0.263210488759963	0.008	0
"Licuala ahlidurii"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0	NA	0.582545633994098	0.008	0
"Licuala angustiloba"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00228310502283105	0.000763358778625954	8.16810854843878e-07	0.0373582821132976	0.016	0
"Licuala anomala"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	NA	0.126593707559564	0.008	0
"Licuala atrovirens"	2	"Data Deficient"	"NE"	"Data Deficient"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	NA	0.295975281603857	0.016	0
"Licuala atroviridis"	4	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0.000381679389312977	0	0.428448440042397	0.016	0
