"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Wettinia hirsuta"	11	"NE"	"NE"	"EN"	"nonLC"	"NOT_ASSESSED"	9	9	40	20540.7423549916	0.111792517487298	3	1
"Wettinia kalbreyeri"	56	"NE"	"NE"	"LC"	"LC"	"NOT_ASSESSED"	27	32	184	213126.637591963	0.0342211553818613	6	2
"Wettinia lanata"	1	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	1	1	4	NA	0.0251500941812992	1	1
"Wettinia longipetala"	27	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	13	14	84	77335.2589615178	0.0625401939851818	6	1
"Wettinia maynensis"	150	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	62	77	424	558536.805748037	0.0397093074776543	8	3
"Wettinia microcarpa"	2	"NE"	"NE"	"Threatened"	"nonLC"	"NOT_ASSESSED"	1	1	8	1	0.0139185390435159	1	1
"Wettinia oxycarpa"	12	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	7	7	36	5041.81437235127	0.0225906869551788	1	2
"Wettinia panamensis"	4	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	4	4	16	2175.6669648176	0.0433216083329171	2	1
"Wettinia praemorsa"	55	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	36	42	200	258447.083421236	0.0246438315222886	8	2
"Wettinia quinaria"	89	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	30	41	268	170516.654547659	0.0249217094361698	8	2
